Temperatura_Promedio_C,Likes_Redes_Sociales,Promociones_Dia,Lluvia_Registrada_mm,Ventas_Helado_Litros
28,484,2,5,237
32,570,4,0,436
18,595,2,6,396
35,421,2,1,260
15,366,3,8,240
24,316,3,4,204
27,550,2,4,354
26,389,2,3,338
21,284,4,4,240
23,538,4,7,363
22,749,3,0,421
22,499,3,7,237
29,583,2,5,354
26,508,2,2,384
21,490,3,2,233
29,591,3,8,317
26,470,4,3,320
29,526,3,2,294
28,532,1,7,290
20,433,4,5,260
22,599,2,3,292
28,482,2,5,263
28,424,3,2,326
24,553,4,7,282
25,410,6,7,208
31,502,3,6,300
22,499,2,5,345
27,608,3,8,365
23,547,3,4,317
23,497,2,2,314
30,581,4,5,288
29,639,3,9,418
29,555,3,2,377
31,501,3,4,313
25,368,3,5,304
28,393,3,4,217
23,469,2,3,353
26,439,2,7,292
24,481,1,9,277
25,505,3,5,321
27,552,3,3,346
20,492,3,1,371
35,548,4,5,315
19,506,2,7,265
18,302,3,5,258
30,406,1,4,244
28,485,2,3,360
28,379,3,2,353
28,559,3,6,334
24,653,2,6,422
20,621,2,1,311
25,478,1,8,333
21,649,2,6,390
29,514,3,7,356
24,466,3,2,271
20,438,3,2,198
23,469,3,4,326
27,461,3,6,200
22,517,2,8,298
20,516,3,6,364
26,500,3,4,332
26,543,3,2,443
22,619,2,7,417
22,594,0,3,315
26,351,4,8,250
17,244,2,4,169
17,593,2,8,263
21,363,3,6,195
23,477,2,4,272
26,382,4,3,168
32,319,3,4,246
29,554,3,5,342
24,575,1,5,261
24,442,4,3,316
19,240,3,4,214
24,445,2,5,296
23,539,3,0,324
26,352,1,5,267
20,518,3,3,355
27,498,1,2,331
32,557,1,1,315
24,511,1,1,331
27,402,4,2,342
28,619,2,3,352
22,484,4,8,412
26,497,2,3,291
25,406,1,5,264
25,455,1,5,253
21,411,4,5,283
25,482,2,4,219
27,671,2,2,380
32,362,3,7,208
29,338,3,8,250
35,647,4,1,472
21,479,4,2,341
29,433,2,4,171
25,603,1,3,465
35,439,2,6,318
20,682,3,3,364
20,567,2,9,342
22,451,2,7,291
14,715,3,5,372
22,439,2,7,286
21,574,3,7,316
25,529,2,3,311
26,630,2,3,349
34,656,2,5,339
29,503,3,6,335
22,424,4,5,310
20,545,1,1,352
27,432,2,3,327
18,701,1,4,413
34,513,2,4,313
30,463,2,8,345
22,518,1,2,248
16,365,2,6,183
31,402,1,7,222
24,620,3,9,428
31,434,3,4,347
17,395,2,5,270
22,553,3,6,393
25,618,2,5,330
25,571,2,4,368
22,599,4,5,362
28,424,4,0,340
19,357,1,6,219
24,650,3,5,373
25,467,3,4,331
27,474,1,9,340
28,632,3,3,360
19,555,4,4,338
17,545,1,8,260
31,716,2,3,312
26,435,4,3,306
21,592,3,4,389
32,505,3,6,348
25,526,3,5,235
30,652,3,2,391
25,550,1,3,226
35,553,4,3,441
33,607,4,4,341
23,463,2,5,355
29,416,2,5,328
28,395,1,1,222
31,303,3,7,174
20,705,3,5,430
28,389,2,7,221
30,477,4,5,328
16,472,2,7,256
19,530,3,5,233
14,581,1,7,214
23,586,2,6,364
28,441,2,4,264
32,483,3,9,293
25,528,2,6,362
33,475,2,6,376
18,660,3,2,375
16,549,2,2,307
24,573,1,5,369
26,566,4,5,292
24,617,4,3,394
14,518,1,5,324
24,370,3,8,284
18,539,2,6,222
28,434,3,2,257
26,447,3,4,252
20,558,2,3,340
22,623,2,4,395
19,502,2,4,379
24,530,2,4,304
29,670,2,2,386
20,524,2,4,375
27,760,2,3,465
22,556,3,0,410
21,323,4,9,238
24,575,2,7,290
19,538,3,4,261
22,628,3,5,300
19,567,3,2,377
34,486,3,8,387
25,377,3,8,347
21,479,3,5,343
26,414,1,7,325
24,441,3,5,259
23,558,3,2,290
28,666,2,4,447
28,539,3,5,366
22,380,3,4,260
22,544,2,4,351
23,619,4,4,397
13,439,5,4,340
17,486,2,5,356
31,501,1,2,352
33,421,3,3,340
23,564,3,2,376
27,487,2,6,288
26,541,4,0,390
40,411,1,7,223
30,456,3,7,358
24,572,2,4,290
20,462,4,0,315
16,672,4,4,351
26,460,2,4,325
21,522,2,2,319
17,593,3,3,272
21,358,2,8,254
19,323,2,6,184
33,347,3,3,305
29,626,1,1,385
24,444,2,4,305
32,755,2,4,409
25,443,2,5,257
20,518,4,3,303
32,654,1,6,442
27,700,3,8,504
19,706,2,6,364
24,620,2,4,427
20,602,3,4,253
18,559,3,4,276
29,577,3,7,316
34,444,3,3,244
18,418,2,5,180
27,499,2,5,339
21,482,1,3,284
22,454,2,2,307
22,569,5,5,393
20,595,4,4,376
25,508,1,6,345
20,647,1,3,372
26,385,3,7,203
24,480,3,3,362
23,428,3,8,247
20,313,2,1,168
22,491,2,5,295
28,487,3,5,273
27,651,3,3,380
20,563,0,5,343
25,397,2,7,278
28,685,2,0,373
16,622,3,6,337
27,558,5,0,421
21,477,3,3,327
27,404,2,8,371
21,462,3,3,354
15,608,3,2,414
16,688,3,4,327
25,654,3,9,431
26,451,5,1,308
20,388,1,2,219
28,514,3,7,339
16,323,2,8,252
24,532,3,4,360
18,485,2,2,252
21,453,2,9,316
25,340,2,8,200
20,551,3,6,345
23,446,3,3,275
30,383,1,4,251
22,212,3,4,209
29,497,2,5,269
19,677,1,7,481
27,666,2,6,309
32,454,2,2,279
12,439,5,7,290
21,546,3,5,364
27,400,1,6,257
23,530,2,7,321
26,576,4,2,388
21,622,5,4,372
25,489,1,3,376
24,479,1,1,343
30,412,4,5,334
26,417,3,10,227
26,477,2,1,305
22,536,3,4,317
22,591,0,6,293
22,419,3,5,291
26,649,3,4,370
22,472,3,2,335
26,497,1,5,256
35,425,3,3,390
29,257,2,0,161
23,588,3,7,368
31,573,2,6,402
22,471,2,5,265
14,506,2,5,338
19,551,3,7,270
15,343,3,5,294
23,447,2,6,284
25,579,3,4,330
33,374,1,7,246
26,529,2,5,371
23,364,2,5,213
29,546,5,2,326
13,496,1,5,272
26,338,4,3,189
28,616,3,3,477
17,426,3,3,240
30,418,4,2,338
26,520,3,9,338
22,614,3,7,319
28,398,2,8,266
36,506,4,2,392
25,542,4,5,336
26,569,2,2,414
22,517,1,3,365
20,463,2,3,334
29,417,2,7,256
20,508,2,4,256
25,392,4,7,238
22,207,2,6,171
27,543,2,9,363
26,590,3,2,261
30,263,3,7,209
22,399,0,7,254
23,561,2,3,329
20,705,3,7,475
22,502,4,5,341
26,427,2,4,347
28,481,1,3,297
20,637,3,3,427
29,435,2,9,368
31,420,1,5,347
27,451,2,6,238
34,404,2,3,274
21,512,2,3,297
18,662,0,7,394
16,532,3,2,355
32,474,4,4,285
28,470,3,5,314
24,343,1,5,128
26,588,2,4,434
19,492,2,5,273
37,481,3,6,336
25,819,3,6,463
25,529,2,3,388
28,424,3,4,147
27,457,3,7,299
26,614,4,6,377
21,511,3,2,297
27,356,3,5,338
34,591,3,1,343
31,433,4,5,342
32,687,3,8,442
22,608,2,3,428
20,455,4,3,261
24,628,3,6,344
25,506,2,1,376
30,585,2,3,390
16,548,3,6,247
32,415,3,3,266
24,435,3,4,305
22,602,3,6,405
19,466,4,5,262
16,459,4,5,140
29,404,3,4,307
25,542,3,5,279
18,706,1,4,299
18,393,3,5,110
23,502,4,4,363
33,641,2,4,408
23,492,2,3,297
17,545,2,4,391
23,393,1,3,286
23,542,2,2,415
11,481,2,5,207
24,598,1,5,355
23,618,3,6,293
28,758,3,4,444
34,557,2,5,349
30,532,4,6,381
23,519,3,5,327
19,464,4,3,328
37,533,2,5,390
25,470,3,5,412
25,516,1,5,302
24,631,3,0,341
25,399,3,5,281
24,613,3,9,330
22,631,1,4,444
22,488,2,3,290
24,287,3,5,183
22,439,2,5,254
21,629,3,7,410
25,497,1,2,303
23,400,3,6,232
32,449,1,6,380
11,584,3,4,292
30,554,3,5,358
31,476,2,7,345
14,463,3,6,196
23,460,3,2,323
23,407,2,6,210
17,661,1,4,416
21,467,1,5,237
19,621,3,5,403
33,652,1,4,458
29,599,3,7,418
31,456,2,4,318
28,540,3,2,337
19,497,2,4,273
22,409,2,5,337
27,532,3,7,303
18,382,3,6,194
28,618,3,3,420
23,453,3,9,248
23,520,1,5,268
28,528,3,7,265
27,474,3,4,287
23,558,1,6,329
30,452,2,6,312
19,587,2,7,392
28,365,2,7,277
27,512,3,6,319
23,693,4,4,408
26,399,4,3,304
18,432,1,5,325
29,551,3,6,358
24,517,4,4,309
22,535,3,7,279
30,548,4,7,284
21,563,5,3,388
17,610,4,3,394
17,540,3,4,353
28,475,4,5,312
18,567,3,3,411
33,689,3,7,404
14,486,2,5,333
33,402,4,5,290
26,610,2,2,344
24,487,4,2,349
22,282,3,5,225
26,584,1,0,376
24,446,3,7,293
30,490,0,4,309
25,533,3,11,449
25,519,3,9,384
23,570,2,4,383
24,456,3,4,302
26,551,4,6,401
16,474,2,8,306
18,573,1,1,337
28,561,4,1,350
25,406,4,3,275
24,608,3,6,212
25,446,4,5,308
26,580,4,7,340
22,536,2,2,409
21,683,2,0,404
25,477,4,6,253
20,465,4,3,297
27,498,3,0,275
16,469,2,5,305
30,579,4,6,388
27,338,2,4,286
26,394,2,4,225
29,393,3,4,277
33,595,4,4,321
30,671,3,2,453
15,489,3,3,322
18,483,3,6,321
21,507,3,5,315
25,616,3,5,398
27,407,0,3,344
21,523,2,4,305
25,597,3,0,380
21,550,1,5,272
21,518,3,7,275
17,600,2,2,356
20,229,4,3,236
18,567,4,5,331
20,434,2,7,258
30,316,2,4,213
20,551,2,3,305
38,637,2,1,428
27,486,3,5,242
25,595,2,9,422
20,661,1,5,347
28,631,3,4,428
22,663,3,5,332
25,574,2,4,386
37,507,3,3,383
24,339,2,6,250
30,475,3,5,267
21,415,3,5,281
24,717,2,3,364
33,482,3,7,312
21,512,2,6,363
34,555,2,3,402
28,504,2,7,321
22,669,2,4,345
28,437,2,3,323
29,519,1,3,330
28,425,2,1,171
17,367,2,5,271
21,438,2,1,278
23,496,2,2,372
24,457,2,0,241
28,430,3,4,133
25,359,3,4,264
18,491,2,4,312
26,349,1,2,154
28,576,1,2,308
27,508,2,5,460
30,354,2,3,238
29,469,2,5,344
27,424,1,3,245
24,531,2,5,223
16,634,3,7,358
27,312,3,6,215
26,511,2,4,303
26,483,2,5,302
18,567,2,4,348
19,521,2,5,305
30,424,2,4,224
24,468,3,4,327
28,420,1,5,178
25,607,2,3,267
25,502,3,2,360
29,690,3,2,451
22,493,5,1,321
25,429,3,2,217
22,348,1,5,192
22,319,2,3,207
23,341,1,6,145
26,526,2,5,293
22,550,2,1,370
31,341,3,6,322
20,589,2,6,327
24,451,2,3,328
22,514,2,5,220
32,661,4,3,454
25,589,2,5,319
30,473,4,2,339
17,410,3,1,250
26,284,3,4,281
29,428,3,4,249
25,478,3,4,341
30,401,1,2,259
22,486,2,4,295
32,507,3,5,328
36,477,2,4,284
23,434,1,5,272
22,516,2,3,315
32,544,4,7,371
32,390,4,2,291
22,641,2,5,419
22,490,3,7,353
23,501,2,5,258
18,570,1,4,375
20,523,2,3,259
19,595,4,7,387
21,528,2,2,354
24,438,2,3,188
26,536,2,4,340
32,385,4,7,256
20,510,4,5,282
29,496,5,3,405
23,479,2,4,268
24,487,3,3,273
28,311,1,3,227
19,445,4,6,318
26,509,1,2,312
25,515,3,8,382
27,397,1,6,288
26,626,2,7,269
37,413,2,4,270
21,596,2,4,327
22,542,2,2,356
21,435,2,3,145
22,677,3,5,529
21,380,1,7,266
30,591,3,2,385
32,600,4,4,449
22,432,2,4,393
20,639,2,2,421
27,474,2,6,352
22,528,4,3,341
28,526,3,4,332
26,486,2,4,287
17,581,3,3,305
32,579,1,4,330
33,325,3,4,181
21,630,3,4,374
23,333,2,3,145
26,603,2,5,378
26,612,2,8,368
28,390,3,5,278
35,458,4,6,296
24,389,2,2,414
21,478,3,5,369
18,469,0,2,216
21,577,2,2,360
24,631,2,3,350
33,639,2,7,347
22,443,2,6,212
26,479,2,5,328
24,331,3,1,203
30,419,2,4,333
37,596,0,5,426
22,661,0,5,448
22,376,2,1,208
30,440,3,3,325
28,497,0,4,342
34,528,2,6,322
27,419,2,0,244
23,542,4,4,423
27,452,2,5,306
30,498,3,6,359
29,554,3,6,312
27,500,0,6,247
30,456,3,3,281
30,489,3,1,322
31,491,3,4,275
28,462,6,7,319
24,474,0,7,203
25,659,4,6,347
31,556,2,5,388
20,470,3,5,325
26,569,2,3,333
23,466,2,4,244
25,617,2,8,319
31,536,3,3,333
25,489,1,8,333
25,544,3,4,389
18,342,2,7,195
28,387,1,2,204
28,380,2,6,273
35,514,4,3,312
23,673,2,2,374
26,723,3,5,499
26,563,2,7,387
32,550,3,3,368
24,319,3,2,166
26,445,4,4,311
28,421,2,4,335
25,437,3,6,268
22,483,3,6,372
25,452,4,4,366
30,302,2,8,306
19,574,3,5,360
25,392,2,4,291
21,523,2,1,393
30,707,3,4,456
17,408,3,4,233
22,246,2,6,158
26,471,3,5,319
32,610,4,2,332
24,695,3,5,408
22,377,3,6,306
34,549,2,8,244
17,453,2,6,351
14,489,3,6,347
27,764,3,5,433
22,349,4,5,270
19,525,2,7,313
28,546,2,2,408
26,608,1,4,416
22,509,2,3,245
18,530,3,5,350
29,460,2,7,290
28,526,3,3,345
24,465,2,0,264
34,562,3,4,457
19,463,1,6,330
17,537,3,6,284
21,497,0,5,228
24,612,2,4,350
26,494,1,2,333
23,322,4,6,243
26,626,3,3,449
18,409,3,9,295
32,434,4,6,353
24,440,2,3,301
30,637,4,3,336
26,286,3,4,206
27,813,2,4,529
27,605,4,7,376
27,522,1,5,350
28,494,2,3,304
31,528,2,8,286
25,552,2,5,334
28,564,1,6,362
24,555,4,3,319
32,508,2,5,321
21,480,3,5,255
34,484,2,1,384
24,480,1,9,279
17,613,3,7,431
25,559,1,4,416
21,205,2,2,158
29,565,1,5,300
21,519,4,5,222
22,498,3,5,239
15,461,3,5,211
22,612,4,6,442
12,594,2,7,339
17,422,3,6,283
28,540,3,2,237
28,402,3,7,215
27,362,4,8,301
20,437,3,11,286
24,586,3,2,356
24,595,1,5,383
19,551,2,0,415
32,572,2,6,352
29,551,3,3,358
23,435,1,8,280
25,543,5,3,473
26,580,4,1,266
14,575,3,4,370
23,618,3,1,373
21,570,2,6,369
19,535,2,0,292
23,607,3,5,367
33,497,3,0,375
28,411,1,4,428
22,483,3,8,342
27,425,2,5,239
