Genero,Edad,Ubicacion,Tipo_Escuela,Transporte_a_la_Escuela,Privada,Area_de_la_Carrera,Promedio_Inicial,Promedio_Medio,Promedio_Final,Horas_Estudio_Semanal,Otra_Carrera_Previa,Nivel_Ingresos_Rango,Trabaja,Apoyo_Economico,Foraneo_o_Local,Con_quien_vive,Estado_Civil,Discapacidad,Problemas_Socioeconomicos,Horas_Sueño,Nivel_Estres_Percibido,Recibio_Orientacion_Vocacional,Razon_Principal_Eleccion_Carrera,Problemas_Familiares,Problemas_Psicologicos,Habilidades,Nivel_de_Satisfaccion,Hobbies,Amigos_Cercanos,Satisfaccion_Carrera,Motivo_eleccion_carrera,Expectativas_cumplidas,Deserto,Motivo_de_Desercion,Año_de_Desercion
Femenino,18,Rural,Publica,18,Si,Arte,87,72,66,21,Si,5k-10k,Si,Trabajo Propio,Local,Familia,Casado,Ninguna,Si,6,6,Si,Amigos/Familia,No,No,Media,3,Arte,1,7,Prestigio,Si,No,No Aplica,0
Femenino,23,Rural,Privada,13,No,Humanidades,71,78,67,13,Si,5k-10k,Si,Padres,Local,Amigos,Soltero,Ninguna,Si,6,2,No,Sueldo,No,Si,Alta,8,Deportes,8,3,Vocación,No,No,No Aplica,0
Masculino,21,Rural,Publica,41,No,Ingenieria,89,69,90,13,No,<5k,Si,Trabajo Propio,Foraneo,Otros,Soltero,Ninguna,Si,6,2,Si,Gusto Personal,Si,No,Baja,7,Lectura,6,6,Vocación,Si,Si,Problemas Académicos,6
Masculino,20,Urbana,Privada,23,No,Arte,93,82,70,25,No,5k-10k,No,Otro,Foraneo,Familia,Soltero,Ninguna,No,6,6,Si,Demanda Laboral,No,No,Alta,8,Deportes,7,8,Influencia Familiar,No,No,No Aplica,0
Femenino,18,Urbana,Privada,12,Si,Ciencias Naturales,59,77,80,16,No,5k-10k,Si,Padres,Foraneo,Familia,Soltero,Ninguna,Si,4,8,Si,Gusto Personal,Si,Si,Media,7,Viajar,6,8,Vocación,No,No,No Aplica,0
Femenino,21,Rural,Privada,40,Si,Ciencias Sociales,91,64,56,18,No,10k-20k,No,Trabajo Propio,Foraneo,Familia,Soltero,Ninguna,No,7,8,No,Amigos/Familia,No,Si,Baja,5,Lectura,9,5,Prestigio,Si,No,No Aplica,0
Femenino,22,Rural,Privada,35,No,Humanidades,72,99,84,10,No,10k-20k,No,Otro,Foraneo,Amigos,Soltero,Ninguna,No,4,5,Si,Sueldo,Si,Si,Alta,8,Deportes,6,10,Influencia Familiar,Si,Si,Problemas Económicos,5
Masculino,22,Rural,Privada,27,Si,Arte,71,89,76,14,Si,>20k,No,Padres,Local,Solo,Soltero,Cognitiva,No,5,3,Si,Sueldo,No,No,Alta,9,Arte,8,8,Vocación,No,No,No Aplica,0
Femenino,22,Rural,Publica,23,No,Humanidades,83,85,78,19,No,<5k,Si,Trabajo Propio,Local,Otros,Soltero,Ninguna,No,4,5,Si,Demanda Laboral,Si,No,Alta,6,Lectura,6,10,Cercanía,Si,Si,Problemas Familiares,4
Masculino,18,Rural,Publica,49,No,Ciencias Sociales,77,81,91,14,Si,5k-10k,No,Padres,Foraneo,Solo,Soltero,Ninguna,No,6,4,Si,Demanda Laboral,No,No,Baja,6,Deportes,4,6,Influencia Familiar,No,No,No Aplica,0
Femenino,19,Urbana,Publica,43,No,Ciencias Naturales,80,66,77,10,No,5k-10k,No,Otro,Local,Otros,Soltero,Ninguna,Si,4,4,No,Prestigio,Si,Si,Alta,7,Arte,5,10,Cercanía,Si,No,No Aplica,0
Femenino,16,Rural,Publica,32,No,Humanidades,104,75,71,13,Si,<5k,No,Otro,Foraneo,Otros,Soltero,Ninguna,No,5,6,No,Demanda Laboral,No,Si,Baja,8,Viajar,5,5,Cercanía,No,No,No Aplica,0
Masculino,20,Rural,Privada,42,No,Humanidades,92,79,81,10,No,<5k,Si,Trabajo Propio,Foraneo,Solo,Soltero,Ninguna,Si,6,9,Si,Sueldo,Si,No,Alta,6,Tecnología,4,9,Vocación,No,No,No Aplica,0
Masculino,17,Rural,Publica,52,No,Ciencias Sociales,71,52,72,17,No,10k-20k,No,Padres,Local,Otros,Soltero,Ninguna,No,4,4,Si,Amigos/Familia,Si,No,Baja,2,Tecnología,6,11,Prestigio,Si,No,No Aplica,0
Femenino,18,Urbana,Publica,41,Si,Ciencias Sociales,76,68,66,13,No,10k-20k,No,Otro,Local,Familia,Soltero,Cognitiva,Si,6,3,No,Prestigio,Si,No,Baja,6,Arte,5,7,Cercanía,No,Si,Cambio de Carrera,1
Masculino,17,Urbana,Privada,15,No,Ciencias Naturales,76,77,79,7,No,<5k,Si,Trabajo Propio,Local,Amigos,Soltero,Ninguna,Si,6,6,Si,Sueldo,Si,No,Media,9,Arte,3,5,Vocación,Si,No,No Aplica,0
Masculino,19,Rural,Publica,30,Si,Ingenieria,77,68,85,17,No,5k-10k,No,Padres,Foraneo,Amigos,Soltero,Ninguna,Si,7,3,Si,Demanda Laboral,Si,No,Baja,6,Deportes,5,10,Renta Económica,Si,No,No Aplica,0
Masculino,21,Urbana,Publica,36,Si,Ciencias Sociales,65,62,83,19,Si,>20k,Si,Otro,Foraneo,Familia,Casado,Ninguna,Si,7,3,Si,Prestigio,No,Si,Alta,4,Lectura,8,5,Renta Económica,Si,No,No Aplica,0
Femenino,20,Rural,Privada,16,No,Ingenieria,94,72,86,14,No,5k-10k,No,Trabajo Propio,Foraneo,Otros,Soltero,Ninguna,Si,7,6,Si,Prestigio,Si,No,Baja,4,Tecnología,9,7,Influencia Familiar,No,No,No Aplica,0
Femenino,23,Urbana,Publica,34,No,Humanidades,89,70,76,7,Si,<5k,Si,Trabajo Propio,Foraneo,Otros,Soltero,Ninguna,No,5,6,No,Prestigio,Si,No,Media,8,Viajar,7,5,Renta Económica,Si,No,No Aplica,0
Femenino,18,Rural,Privada,34,Si,Ciencias Naturales,83,70,57,15,Si,5k-10k,Si,Trabajo Propio,Foraneo,Familia,Soltero,Ninguna,No,6,7,No,Gusto Personal,No,No,Alta,6,Tecnología,5,10,Influencia Familiar,No,No,No Aplica,0
Femenino,19,Urbana,Publica,36,No,Ciencias Sociales,80,63,83,24,No,<5k,Si,Padres,Local,Familia,Soltero,Ninguna,Si,3,5,No,Prestigio,Si,Si,Media,8,Tecnología,4,6,Prestigio,No,No,No Aplica,0
Femenino,20,Rural,Publica,28,Si,Ciencias Naturales,68,78,78,7,Si,>20k,No,Otro,Foraneo,Familia,Soltero,Ninguna,Si,7,6,Si,Gusto Personal,Si,No,Baja,7,Lectura,6,8,Influencia Familiar,Si,Si,Problemas Familiares,4
Masculino,16,Rural,Publica,41,No,Arte,76,74,60,11,No,>20k,Si,Otro,Local,Otros,Soltero,Ninguna,Si,4,5,Si,Gusto Personal,No,Si,Baja,12,Tecnología,4,8,Prestigio,No,No,No Aplica,0
Masculino,22,Rural,Publica,46,No,Humanidades,90,84,68,11,No,5k-10k,No,Trabajo Propio,Foraneo,Solo,Soltero,Cognitiva,Si,5,1,Si,Prestigio,No,Si,Baja,7,Tecnología,6,9,Vocación,Si,No,No Aplica,0
Femenino,20,Rural,Publica,20,No,Ciencias Naturales,82,72,66,5,Si,<5k,Si,Padres,Local,Otros,Soltero,Ninguna,Si,8,9,No,Demanda Laboral,Si,No,Media,12,Viajar,1,2,Cercanía,Si,Si,Problemas Económicos,7
Femenino,20,Urbana,Privada,30,No,Arte,90,71,84,20,No,5k-10k,Si,Padres,Foraneo,Solo,Soltero,Ninguna,No,5,7,Si,Amigos/Familia,Si,Si,Baja,5,Viajar,7,6,Vocación,Si,Si,Otros,2
Masculino,18,Urbana,Privada,24,No,Ingenieria,81,90,64,9,No,5k-10k,No,Otro,Local,Solo,Soltero,Ninguna,No,2,7,No,Prestigio,Si,No,Media,9,Viajar,6,5,Cercanía,No,Si,Problemas Familiares,8
Femenino,21,Rural,Privada,43,No,Humanidades,101,74,61,15,Si,5k-10k,No,Otro,Local,Otros,Soltero,Ninguna,Si,6,4,Si,Prestigio,Si,No,Media,5,Deportes,6,12,Renta Económica,Si,No,No Aplica,0
Femenino,23,Urbana,Publica,33,No,Humanidades,71,87,61,14,No,<5k,No,Padres,Local,Solo,Casado,Ninguna,Si,6,3,Si,Gusto Personal,Si,Si,Media,10,Deportes,5,9,Cercanía,Si,Si,Problemas Académicos,2
Masculino,22,Urbana,Privada,38,Si,Arte,67,66,78,16,Si,<5k,Si,Beca,Foraneo,Otros,Soltero,Ninguna,Si,5,6,Si,Amigos/Familia,No,Si,Baja,7,Viajar,5,5,Prestigio,No,No,No Aplica,0
Femenino,20,Rural,Privada,45,No,Ciencias Naturales,93,87,60,11,No,5k-10k,No,Padres,Foraneo,Solo,Soltero,Ninguna,Si,5,1,Si,Amigos/Familia,Si,No,Baja,7,Viajar,7,10,Renta Económica,Si,No,No Aplica,0
Masculino,21,Urbana,Privada,50,No,Humanidades,71,77,65,16,Si,5k-10k,No,Padres,Local,Otros,Soltero,Ninguna,Si,5,6,No,Gusto Personal,Si,No,Alta,9,Arte,4,5,Renta Económica,No,No,No Aplica,0
Masculino,22,Urbana,Publica,38,Si,Humanidades,87,82,75,20,No,<5k,Si,Otro,Local,Amigos,Soltero,Ninguna,No,6,6,Si,Demanda Laboral,Si,Si,Baja,8,Lectura,5,9,Renta Económica,Si,No,No Aplica,0
Femenino,20,Urbana,Privada,18,No,Ciencias Sociales,83,81,60,18,No,5k-10k,No,Padres,Local,Otros,Casado,Ninguna,No,3,4,No,Amigos/Familia,No,No,Alta,8,Viajar,5,7,Renta Económica,No,No,No Aplica,0
Femenino,20,Urbana,Publica,48,No,Ingenieria,75,73,64,15,No,5k-10k,No,Padres,Local,Amigos,Soltero,Ninguna,No,5,5,No,Amigos/Familia,Si,No,Media,8,Lectura,5,8,Cercanía,Si,Si,Problemas Económicos,6
Femenino,17,Urbana,Privada,26,Si,Humanidades,71,64,68,19,No,<5k,No,Trabajo Propio,Local,Otros,Soltero,Ninguna,Si,7,7,Si,Prestigio,Si,Si,Media,5,Viajar,5,8,Vocación,No,No,No Aplica,0
Femenino,17,Rural,Publica,34,Si,Ciencias Naturales,72,86,79,9,Si,>20k,Si,Beca,Foraneo,Solo,Divorciado,Ninguna,No,5,7,No,Prestigio,No,No,Alta,7,Lectura,2,8,Influencia Familiar,Si,Si,Problemas Familiares,3
Masculino,21,Urbana,Privada,31,Si,Ciencias Naturales,83,71,70,14,Si,<5k,Si,Padres,Foraneo,Otros,Soltero,Ninguna,Si,6,5,No,Amigos/Familia,Si,No,Alta,6,Arte,5,8,Vocación,No,No,No Aplica,0
Femenino,17,Rural,Publica,28,Si,Ciencias Naturales,84,84,56,17,Si,10k-20k,Si,Otro,Local,Solo,Soltero,Ninguna,Si,3,2,No,Gusto Personal,No,Si,Baja,11,Viajar,4,12,Renta Económica,Si,Si,Problemas Familiares,2
Masculino,20,Rural,Privada,23,No,Humanidades,77,71,79,6,Si,10k-20k,No,Padres,Foraneo,Otros,Soltero,Ninguna,No,7,6,No,Amigos/Familia,Si,No,Media,6,Tecnología,6,5,Vocación,Si,Si,Otros,7
Femenino,24,Urbana,Publica,24,Si,Humanidades,79,72,65,16,No,<5k,No,Beca,Local,Otros,Soltero,Ninguna,Si,6,6,No,Gusto Personal,Si,No,Baja,7,Viajar,4,8,Influencia Familiar,No,No,No Aplica,0
Masculino,21,Rural,Publica,17,No,Ingenieria,91,56,71,21,Si,10k-20k,No,Beca,Local,Amigos,Soltero,Motriz,Si,5,5,Si,Prestigio,Si,Si,Baja,8,Deportes,4,8,Renta Económica,No,No,No Aplica,0
Masculino,20,Rural,Privada,37,Si,Ciencias Sociales,87,80,73,28,Si,5k-10k,Si,Padres,Foraneo,Otros,Soltero,Ninguna,No,9,5,No,Prestigio,Si,No,Baja,7,Arte,9,9,Cercanía,Si,Si,Problemas Familiares,5
Masculino,20,Urbana,Publica,46,Si,Humanidades,86,62,78,8,No,5k-10k,No,Beca,Foraneo,Solo,Soltero,Ninguna,No,6,7,No,Gusto Personal,Si,No,Baja,8,Deportes,3,5,Renta Económica,Si,No,No Aplica,0
Femenino,21,Urbana,Privada,19,No,Humanidades,80,79,67,12,No,<5k,No,Trabajo Propio,Local,Amigos,Soltero,Ninguna,Si,5,3,Si,Sueldo,Si,Si,Alta,7,Tecnología,3,8,Renta Económica,No,No,No Aplica,0
Femenino,24,Urbana,Privada,30,No,Ciencias Sociales,78,80,85,25,No,10k-20k,Si,Padres,Local,Familia,Soltero,Motriz,Si,6,4,No,Sueldo,No,No,Media,7,Deportes,3,7,Cercanía,Si,No,No Aplica,0
Masculino,17,Urbana,Privada,35,No,Arte,87,79,70,19,No,<5k,Si,Trabajo Propio,Local,Solo,Soltero,Ninguna,Si,7,4,Si,Gusto Personal,No,No,Baja,6,Deportes,8,6,Influencia Familiar,No,No,No Aplica,0
Femenino,21,Rural,Privada,35,No,Ingenieria,77,63,46,17,Si,10k-20k,No,Trabajo Propio,Local,Amigos,Soltero,Ninguna,Si,7,6,No,Sueldo,Si,No,Alta,4,Arte,8,9,Cercanía,No,Si,Problemas Familiares,3
Masculino,19,Urbana,Publica,26,Si,Humanidades,73,68,70,18,No,<5k,No,Beca,Local,Amigos,Soltero,Ninguna,No,7,7,No,Demanda Laboral,Si,Si,Baja,8,Lectura,5,11,Prestigio,Si,No,No Aplica,0
Femenino,21,Rural,Publica,45,Si,Humanidades,86,101,63,7,Si,>20k,Si,Otro,Local,Familia,Soltero,Ninguna,No,4,6,No,Sueldo,No,No,Media,6,Lectura,6,8,Renta Económica,Si,Si,Cambio de Carrera,1
Femenino,18,Urbana,Publica,15,No,Ciencias Naturales,91,79,90,12,Si,5k-10k,Si,Otro,Foraneo,Amigos,Soltero,Ninguna,No,5,4,No,Gusto Personal,Si,Si,Media,6,Tecnología,7,7,Influencia Familiar,No,No,No Aplica,0
Masculino,21,Rural,Publica,36,No,Humanidades,74,76,86,10,No,<5k,No,Beca,Local,Amigos,Soltero,Ninguna,Si,8,4,Si,Amigos/Familia,Si,No,Media,4,Lectura,2,6,Prestigio,No,No,No Aplica,0
Masculino,16,Urbana,Publica,46,Si,Arte,73,69,64,20,Si,5k-10k,Si,Trabajo Propio,Local,Otros,Soltero,Ninguna,Si,6,4,No,Demanda Laboral,Si,No,Media,8,Arte,7,5,Prestigio,Si,No,No Aplica,0
Masculino,15,Rural,Privada,29,No,Arte,86,80,79,15,No,5k-10k,No,Padres,Foraneo,Otros,Casado,Ninguna,No,4,3,Si,Sueldo,Si,Si,Media,4,Viajar,5,6,Prestigio,No,Si,Problemas Familiares,1
Femenino,22,Urbana,Publica,32,Si,Arte,79,90,74,23,No,<5k,No,Trabajo Propio,Local,Amigos,Casado,Ninguna,No,7,3,No,Sueldo,No,No,Baja,7,Lectura,7,9,Influencia Familiar,No,Si,Problemas Económicos,5
Femenino,23,Urbana,Privada,12,No,Ciencias Naturales,91,89,75,11,No,5k-10k,No,Otro,Local,Familia,Soltero,Ninguna,Si,6,7,No,Gusto Personal,No,No,Media,7,Arte,4,10,Renta Económica,Si,Si,Otros,4
Masculino,22,Urbana,Publica,39,No,Arte,76,69,81,12,No,<5k,No,Beca,Local,Solo,Soltero,Ninguna,Si,7,5,Si,Amigos/Familia,No,No,Baja,8,Tecnología,2,7,Influencia Familiar,Si,Si,Problemas Académicos,1
Femenino,22,Rural,Privada,28,Si,Ingenieria,69,62,81,22,No,10k-20k,Si,Beca,Foraneo,Amigos,Soltero,Ninguna,No,7,7,Si,Amigos/Familia,Si,Si,Alta,7,Lectura,7,4,Influencia Familiar,No,No,No Aplica,0
Femenino,22,Rural,Privada,28,Si,Humanidades,89,77,69,18,Si,>20k,Si,Beca,Local,Otros,Soltero,Ninguna,No,4,3,No,Amigos/Familia,No,Si,Media,8,Viajar,4,8,Renta Económica,No,No,No Aplica,0
Femenino,20,Rural,Publica,57,No,Ingenieria,106,79,80,15,Si,>20k,No,Beca,Foraneo,Familia,Soltero,Ninguna,No,4,4,Si,Gusto Personal,Si,Si,Alta,8,Arte,3,10,Vocación,Si,Si,Cambio de Carrera,7
Masculino,19,Rural,Privada,27,No,Arte,75,74,69,16,Si,>20k,No,Padres,Foraneo,Otros,Soltero,Ninguna,No,7,4,Si,Gusto Personal,No,Si,Media,13,Arte,6,6,Influencia Familiar,No,Si,Otros,8
Masculino,21,Urbana,Privada,47,No,Ciencias Naturales,91,73,57,13,No,10k-20k,Si,Trabajo Propio,Foraneo,Amigos,Soltero,Ninguna,No,5,6,Si,Demanda Laboral,No,Si,Alta,3,Deportes,6,5,Renta Económica,No,Si,Problemas Económicos,3
Masculino,17,Urbana,Publica,37,Si,Ciencias Naturales,78,83,62,16,No,5k-10k,Si,Beca,Foraneo,Otros,Soltero,Ninguna,No,10,5,Si,Prestigio,Si,No,Media,6,Deportes,7,5,Cercanía,Si,No,No Aplica,0
Masculino,20,Rural,Privada,18,No,Arte,62,84,42,21,No,5k-10k,No,Trabajo Propio,Foraneo,Otros,Soltero,Ninguna,No,6,4,Si,Gusto Personal,No,Si,Media,6,Lectura,7,7,Prestigio,Si,Si,Problemas Académicos,4
Femenino,17,Rural,Privada,37,No,Ciencias Sociales,74,72,60,22,Si,10k-20k,No,Trabajo Propio,Local,Familia,Soltero,Ninguna,No,5,3,Si,Amigos/Familia,No,Si,Media,4,Deportes,7,6,Cercanía,No,No,No Aplica,0
Femenino,18,Urbana,Publica,50,Si,Ingenieria,74,77,84,17,Si,<5k,No,Beca,Foraneo,Solo,Soltero,Ninguna,Si,7,6,No,Demanda Laboral,No,Si,Alta,8,Tecnología,6,5,Vocación,Si,No,No Aplica,0
Femenino,20,Rural,Publica,42,Si,Humanidades,72,72,69,6,No,<5k,No,Otro,Local,Otros,Soltero,Ninguna,Si,4,5,Si,Prestigio,Si,No,Media,8,Viajar,3,9,Influencia Familiar,No,No,No Aplica,0
Masculino,17,Rural,Publica,36,No,Humanidades,81,87,52,6,Si,>20k,No,Padres,Local,Familia,Soltero,Ninguna,No,8,7,No,Sueldo,Si,No,Alta,6,Arte,3,8,Vocación,Si,No,No Aplica,0
Masculino,19,Rural,Privada,37,Si,Arte,75,73,60,18,No,10k-20k,No,Beca,Local,Amigos,Soltero,Ninguna,No,4,5,No,Demanda Laboral,No,No,Alta,8,Tecnología,6,9,Vocación,No,Si,Cambio de Carrera,2
Femenino,21,Rural,Privada,29,No,Humanidades,67,68,62,16,No,<5k,Si,Beca,Foraneo,Amigos,Soltero,Ninguna,No,8,4,No,Sueldo,No,Si,Alta,4,Arte,7,8,Influencia Familiar,Si,No,No Aplica,0
Masculino,21,Rural,Privada,35,No,Humanidades,71,74,50,21,No,5k-10k,No,Beca,Foraneo,Familia,Soltero,Ninguna,No,5,5,No,Prestigio,Si,No,Media,6,Lectura,5,5,Cercanía,No,No,No Aplica,0
Femenino,27,Urbana,Privada,22,Si,Ciencias Naturales,100,67,63,9,No,10k-20k,No,Beca,Foraneo,Amigos,Soltero,Ninguna,No,10,5,No,Demanda Laboral,Si,No,Baja,7,Viajar,2,6,Vocación,No,No,No Aplica,0
Masculino,16,Rural,Publica,34,Si,Ciencias Sociales,81,62,69,10,Si,5k-10k,Si,Padres,Local,Amigos,Soltero,Ninguna,Si,7,5,Si,Sueldo,Si,No,Alta,5,Viajar,2,9,Cercanía,No,No,No Aplica,0
Femenino,22,Rural,Publica,28,No,Ingenieria,85,84,68,19,No,5k-10k,No,Padres,Foraneo,Solo,Soltero,Ninguna,No,6,3,Si,Sueldo,Si,Si,Alta,9,Viajar,2,10,Cercanía,No,No,No Aplica,0
Masculino,18,Urbana,Publica,40,Si,Humanidades,72,77,73,11,No,<5k,Si,Beca,Local,Otros,Casado,Ninguna,No,5,4,No,Sueldo,No,Si,Baja,9,Lectura,6,8,Vocación,No,No,No Aplica,0
Femenino,19,Urbana,Privada,23,No,Ciencias Sociales,82,82,80,26,No,5k-10k,No,Otro,Foraneo,Amigos,Casado,Ninguna,Si,5,5,Si,Prestigio,Si,No,Media,6,Tecnología,6,6,Prestigio,Si,No,No Aplica,0
Masculino,20,Rural,Publica,32,No,Ingenieria,87,90,43,10,Si,10k-20k,No,Padres,Local,Familia,Soltero,Ninguna,Si,7,4,No,Gusto Personal,Si,No,Baja,6,Deportes,6,5,Vocación,No,No,No Aplica,0
Masculino,17,Urbana,Privada,26,No,Ciencias Naturales,89,80,88,15,No,<5k,No,Trabajo Propio,Foraneo,Otros,Soltero,Ninguna,No,7,6,No,Gusto Personal,Si,No,Alta,6,Deportes,4,9,Influencia Familiar,Si,Si,Problemas Familiares,7
Masculino,20,Rural,Publica,32,Si,Humanidades,82,63,87,18,Si,>20k,No,Padres,Local,Otros,Divorciado,Ninguna,Si,6,4,No,Sueldo,Si,No,Baja,9,Viajar,7,3,Cercanía,Si,No,No Aplica,0
Masculino,23,Rural,Privada,21,No,Ciencias Naturales,95,73,96,12,No,<5k,No,Padres,Local,Solo,Soltero,Auditiva,No,5,9,No,Prestigio,Si,No,Media,8,Deportes,7,10,Influencia Familiar,Si,No,No Aplica,0
Masculino,16,Urbana,Privada,31,Si,Ingenieria,81,78,65,5,Si,5k-10k,Si,Padres,Foraneo,Otros,Soltero,Ninguna,Si,7,3,No,Demanda Laboral,No,Si,Media,6,Tecnología,5,9,Prestigio,Si,Si,Problemas Familiares,3
Femenino,20,Rural,Publica,35,Si,Arte,70,76,47,17,Si,10k-20k,Si,Otro,Local,Familia,Soltero,Ninguna,No,7,6,No,Prestigio,Si,Si,Baja,8,Tecnología,4,11,Renta Económica,Si,No,No Aplica,0
Masculino,20,Urbana,Publica,18,Si,Ciencias Naturales,100,77,82,16,No,<5k,No,Padres,Foraneo,Amigos,Soltero,Ninguna,Si,6,5,Si,Gusto Personal,Si,Si,Baja,11,Arte,5,7,Influencia Familiar,Si,Si,Problemas Económicos,4
Masculino,19,Urbana,Privada,31,Si,Humanidades,85,52,46,11,Si,5k-10k,Si,Trabajo Propio,Foraneo,Amigos,Soltero,Ninguna,No,6,4,Si,Prestigio,Si,Si,Media,7,Tecnología,5,3,Renta Económica,No,No,No Aplica,0
Femenino,19,Urbana,Publica,31,Si,Ciencias Naturales,76,70,77,12,Si,5k-10k,No,Trabajo Propio,Foraneo,Otros,Soltero,Cognitiva,No,7,5,No,Prestigio,No,Si,Alta,7,Lectura,2,8,Cercanía,Si,Si,Cambio de Carrera,2
Femenino,22,Urbana,Publica,43,No,Ciencias Naturales,79,81,71,16,No,5k-10k,No,Trabajo Propio,Local,Familia,Soltero,Ninguna,No,7,4,Si,Gusto Personal,No,Si,Baja,7,Deportes,6,5,Cercanía,No,Si,Problemas Académicos,7
