,genero,edad,ubicacion,tipo_escuela,transporte_a_la_escuela,area_de_la_carrera,promedio_inicial,promedio_medio,promedio_final,horas_estudio_semanal,otra_carrera_previa,nivel_ingresos_rango,trabaja,apoyo_economico,foraneo_o_local,con_quien_vive,estado_civil,discapacidad,problemas_socioeconomicos,horas_sueño,nivel_estres_percibido,recibio_orientacion_vocacional,razon_principal_eleccion_carrera,problemas_familiares,problemas_psicologicos,nivel_de_satisfaccion,hobbies,amigos_cercanos,motivo_eleccion_carrera,expectativas_cumplidas,deserto
10,Masculino,0.0,Urbana,Publica,0.35185185185185186,Humanidades,0.42857142857142855,0.7169811320754716,0.48333333333333334,0.41935483870967744,Si,>20k,Si,Trabajo Propio,Local,Solo,Soltero,Ninguna,Si,0.3,0.8,No,Sueldo,Si,No,0.8,Lectura,0.6363636363636364,Prestigio,No,No
11,Masculino,0.3333333333333333,Rural,Privada,0.5370370370370371,Ingenieria,0.8571428571428571,0.8490566037735849,0.4166666666666667,0.3225806451612903,Si,5k-10k,Si,Otro,Foraneo,Amigos,Soltero,Ninguna,No,0.6,0.8,Si,Prestigio,No,No,0.8,Lectura,0.45454545454545453,Influencia Familiar,No,Si
12,Masculino,0.1111111111111111,Urbana,Publica,0.6111111111111112,Ciencias Sociales,0.5892857142857143,0.3584905660377358,0.6833333333333333,0.5161290322580645,Si,<5k,Si,Padres,Foraneo,Familia,Soltero,Ninguna,Si,0.2,1.0,No,Prestigio,Si,No,1.0,Lectura,0.2727272727272727,Cercanía,Si,No
13,Masculino,0.3333333333333333,Urbana,Publica,0.3888888888888889,Humanidades,0.5357142857142857,0.18867924528301888,0.7833333333333333,0.6451612903225806,Si,<5k,Si,Padres,Local,Otros,Soltero,Visual,Si,0.4,0.8,No,Demanda Laboral,Si,No,0.8,Tecnología,0.45454545454545453,Vocación,No,No
14,Masculino,0.4444444444444444,Rural,Privada,0.46296296296296297,Ingenieria,0.48214285714285715,0.4528301886792453,0.8,0.41935483870967744,No,5k-10k,Si,Beca,Foraneo,Amigos,Soltero,Ninguna,No,0.5,0.4,No,Amigos/Familia,Si,Si,0.4,Tecnología,0.36363636363636365,Renta Económica,No,Si
15,Femenino,0.2222222222222222,Rural,Publica,0.7962962962962963,Ingenieria,0.5535714285714286,0.07547169811320754,0.48333333333333334,0.3225806451612903,Si,<5k,No,Otro,Local,Otros,Soltero,Ninguna,Si,0.3,0.4,No,Amigos/Familia,Si,No,0.4,Lectura,0.36363636363636365,Prestigio,No,No
16,Femenino,0.0,Rural,Publica,0.25925925925925924,Arte,0.7678571428571429,0.4716981132075472,0.43333333333333335,0.6774193548387096,Si,5k-10k,Si,Trabajo Propio,Local,Familia,Casado,Ninguna,Si,0.4,0.2,Si,Amigos/Familia,No,No,0.2,Arte,0.09090909090909091,Prestigio,Si,No
17,Femenino,0.5555555555555556,Rural,Privada,0.16666666666666666,Humanidades,0.48214285714285715,0.5849056603773585,0.45,0.41935483870967744,Si,5k-10k,Si,Padres,Local,Amigos,Soltero,Ninguna,Si,0.4,0.8,No,Sueldo,No,Si,0.8,Deportes,0.7272727272727273,Vocación,No,No
18,Masculino,0.3333333333333333,Rural,Publica,0.6851851851851852,Ingenieria,0.8035714285714286,0.41509433962264153,0.8333333333333334,0.41935483870967744,No,<5k,Si,Trabajo Propio,Foraneo,Otros,Soltero,Ninguna,Si,0.4,0.6,Si,Gusto Personal,Si,No,0.6,Lectura,0.5454545454545454,Vocación,Si,Si
19,Masculino,0.2222222222222222,Urbana,Privada,0.35185185185185186,Arte,0.875,0.660377358490566,0.5,0.8064516129032258,No,5k-10k,No,Otro,Foraneo,Familia,Soltero,Ninguna,No,0.4,0.8,Si,Demanda Laboral,No,No,0.8,Deportes,0.6363636363636364,Influencia Familiar,No,No
20,Femenino,0.0,Urbana,Privada,0.14814814814814814,Ciencias Naturales,0.26785714285714285,0.5660377358490566,0.6666666666666666,0.5161290322580645,No,5k-10k,Si,Padres,Foraneo,Familia,Soltero,Ninguna,Si,0.2,0.6,Si,Gusto Personal,Si,Si,0.6,Viajar,0.5454545454545454,Vocación,No,No
21,Femenino,0.3333333333333333,Rural,Privada,0.6666666666666666,Ciencias Sociales,0.8392857142857143,0.32075471698113206,0.26666666666666666,0.5806451612903226,No,10k-20k,No,Trabajo Propio,Foraneo,Familia,Soltero,Ninguna,No,0.5,0.4,No,Amigos/Familia,No,Si,0.4,Lectura,0.8181818181818182,Prestigio,Si,No
22,Femenino,0.4444444444444444,Rural,Privada,0.5740740740740741,Humanidades,0.5,0.9811320754716981,0.7333333333333333,0.3225806451612903,No,10k-20k,No,Otro,Foraneo,Amigos,Soltero,Ninguna,No,0.2,0.8,Si,Sueldo,Si,Si,0.8,Deportes,0.5454545454545454,Influencia Familiar,Si,Si
23,Masculino,0.4444444444444444,Rural,Privada,0.42592592592592593,Arte,0.48214285714285715,0.7924528301886793,0.6,0.45161290322580644,Si,>20k,No,Padres,Local,Solo,Soltero,Cognitiva,No,0.3,0.8,Si,Sueldo,No,No,0.8,Arte,0.7272727272727273,Vocación,No,No
24,Femenino,0.4444444444444444,Rural,Publica,0.35185185185185186,Humanidades,0.6964285714285714,0.7169811320754716,0.6333333333333333,0.6129032258064516,No,<5k,Si,Trabajo Propio,Local,Otros,Soltero,Ninguna,No,0.2,0.6,Si,Demanda Laboral,Si,No,0.6,Lectura,0.5454545454545454,Cercanía,Si,Si
25,Masculino,0.0,Rural,Publica,0.8333333333333334,Ciencias Sociales,0.5892857142857143,0.6415094339622641,0.85,0.45161290322580644,Si,5k-10k,No,Padres,Foraneo,Solo,Soltero,Ninguna,No,0.4,0.6,Si,Demanda Laboral,No,No,0.6,Deportes,0.36363636363636365,Influencia Familiar,No,No
26,Femenino,0.1111111111111111,Urbana,Publica,0.7222222222222222,Ciencias Naturales,0.6428571428571429,0.3584905660377358,0.6166666666666667,0.3225806451612903,No,5k-10k,No,Otro,Local,Otros,Soltero,Ninguna,Si,0.2,0.6,No,Prestigio,Si,Si,0.6,Arte,0.45454545454545453,Cercanía,Si,No
27,Masculino,0.2222222222222222,Rural,Privada,0.7037037037037037,Humanidades,0.8571428571428571,0.6037735849056604,0.6833333333333333,0.3225806451612903,No,<5k,Si,Trabajo Propio,Foraneo,Solo,Soltero,Ninguna,Si,0.4,0.6,Si,Sueldo,Si,No,0.6,Tecnología,0.36363636363636365,Vocación,No,No
28,Femenino,0.0,Urbana,Publica,0.6851851851851852,Ciencias Sociales,0.5714285714285714,0.39622641509433965,0.43333333333333335,0.41935483870967744,No,10k-20k,No,Otro,Local,Familia,Soltero,Cognitiva,Si,0.4,0.6,No,Prestigio,Si,No,0.6,Arte,0.45454545454545453,Cercanía,No,Si
29,Masculino,0.1111111111111111,Rural,Publica,0.48148148148148145,Ingenieria,0.5892857142857143,0.39622641509433965,0.75,0.5483870967741935,No,5k-10k,No,Padres,Foraneo,Amigos,Soltero,Ninguna,Si,0.5,0.6,Si,Demanda Laboral,Si,No,0.6,Deportes,0.45454545454545453,Renta Económica,Si,No
30,Masculino,0.3333333333333333,Urbana,Publica,0.5925925925925926,Ciencias Sociales,0.375,0.2830188679245283,0.7166666666666667,0.6129032258064516,Si,>20k,Si,Otro,Foraneo,Familia,Casado,Ninguna,Si,0.5,0.4,Si,Prestigio,No,Si,0.4,Lectura,0.7272727272727273,Renta Económica,Si,No
31,Femenino,0.2222222222222222,Rural,Privada,0.2222222222222222,Ingenieria,0.8928571428571429,0.4716981132075472,0.7666666666666667,0.45161290322580644,No,5k-10k,No,Trabajo Propio,Foraneo,Otros,Soltero,Ninguna,Si,0.5,0.4,Si,Prestigio,Si,No,0.4,Tecnología,0.8181818181818182,Influencia Familiar,No,No
32,Femenino,0.5555555555555556,Urbana,Publica,0.5555555555555556,Humanidades,0.8035714285714286,0.4339622641509434,0.6,0.22580645161290322,Si,<5k,Si,Trabajo Propio,Foraneo,Otros,Soltero,Ninguna,No,0.3,0.8,No,Prestigio,Si,No,0.8,Viajar,0.6363636363636364,Renta Económica,Si,No
33,Femenino,0.0,Rural,Privada,0.5555555555555556,Ciencias Naturales,0.6964285714285714,0.4339622641509434,0.2833333333333333,0.4838709677419355,Si,5k-10k,Si,Trabajo Propio,Foraneo,Familia,Soltero,Ninguna,No,0.4,0.6,No,Gusto Personal,No,No,0.6,Tecnología,0.45454545454545453,Influencia Familiar,No,No
34,Femenino,0.1111111111111111,Urbana,Publica,0.5925925925925926,Ciencias Sociales,0.6428571428571429,0.3018867924528302,0.7166666666666667,0.7741935483870968,No,<5k,Si,Padres,Local,Familia,Soltero,Ninguna,Si,0.1,0.8,No,Prestigio,Si,Si,0.8,Tecnología,0.36363636363636365,Prestigio,No,No
35,Femenino,0.2222222222222222,Rural,Publica,0.4444444444444444,Ciencias Naturales,0.42857142857142855,0.5849056603773585,0.6333333333333333,0.22580645161290322,Si,>20k,No,Otro,Foraneo,Familia,Soltero,Ninguna,Si,0.5,0.6,Si,Gusto Personal,Si,No,0.6,Lectura,0.5454545454545454,Influencia Familiar,Si,Si
36,Masculino,0.4444444444444444,Rural,Publica,0.7777777777777778,Humanidades,0.8214285714285714,0.6981132075471698,0.4666666666666667,0.3548387096774194,No,5k-10k,No,Trabajo Propio,Foraneo,Solo,Soltero,Cognitiva,Si,0.3,0.6,Si,Prestigio,No,Si,0.6,Tecnología,0.5454545454545454,Vocación,Si,No
37,Femenino,0.2222222222222222,Rural,Publica,0.2962962962962963,Ciencias Naturales,0.6785714285714286,0.4716981132075472,0.43333333333333335,0.16129032258064516,Si,<5k,Si,Padres,Local,Otros,Soltero,Ninguna,Si,0.6,1.0,No,Demanda Laboral,Si,No,1.0,Viajar,0.09090909090909091,Cercanía,Si,Si
38,Femenino,0.2222222222222222,Urbana,Privada,0.48148148148148145,Arte,0.8214285714285714,0.4528301886792453,0.7333333333333333,0.6451612903225806,No,5k-10k,Si,Padres,Foraneo,Solo,Soltero,Ninguna,No,0.3,0.4,Si,Amigos/Familia,Si,Si,0.4,Viajar,0.6363636363636364,Vocación,Si,Si
39,Masculino,0.0,Urbana,Privada,0.37037037037037035,Ingenieria,0.6607142857142857,0.8113207547169812,0.4,0.2903225806451613,No,5k-10k,No,Otro,Local,Solo,Soltero,Ninguna,No,0.0,0.8,No,Prestigio,Si,No,0.8,Viajar,0.5454545454545454,Cercanía,No,Si
40,Femenino,0.3333333333333333,Rural,Privada,0.7222222222222222,Humanidades,1.0,0.5094339622641509,0.35,0.4838709677419355,Si,5k-10k,No,Otro,Local,Otros,Soltero,Ninguna,Si,0.4,0.4,Si,Prestigio,Si,No,0.4,Deportes,0.5454545454545454,Renta Económica,Si,No
41,Femenino,0.5555555555555556,Urbana,Publica,0.5370370370370371,Humanidades,0.48214285714285715,0.7547169811320755,0.35,0.45161290322580644,No,<5k,No,Padres,Local,Solo,Casado,Ninguna,Si,0.4,1.0,Si,Gusto Personal,Si,Si,1.0,Deportes,0.45454545454545453,Cercanía,Si,Si
42,Masculino,0.4444444444444444,Urbana,Privada,0.6296296296296297,Arte,0.4107142857142857,0.3584905660377358,0.6333333333333333,0.5161290322580645,Si,<5k,Si,Beca,Foraneo,Otros,Soltero,Ninguna,Si,0.3,0.6,Si,Amigos/Familia,No,Si,0.6,Viajar,0.45454545454545453,Prestigio,No,No
43,Femenino,0.2222222222222222,Rural,Privada,0.7592592592592593,Ciencias Naturales,0.875,0.7547169811320755,0.3333333333333333,0.3548387096774194,No,5k-10k,No,Padres,Foraneo,Solo,Soltero,Ninguna,Si,0.3,0.6,Si,Amigos/Familia,Si,No,0.6,Viajar,0.6363636363636364,Renta Económica,Si,No
44,Masculino,0.3333333333333333,Urbana,Privada,0.8518518518518519,Humanidades,0.48214285714285715,0.5660377358490566,0.4166666666666667,0.5161290322580645,Si,5k-10k,No,Padres,Local,Otros,Soltero,Ninguna,Si,0.3,0.8,No,Gusto Personal,Si,No,0.8,Arte,0.36363636363636365,Renta Económica,No,No
45,Masculino,0.4444444444444444,Urbana,Publica,0.6296296296296297,Humanidades,0.7678571428571429,0.660377358490566,0.5833333333333334,0.6451612903225806,No,<5k,Si,Otro,Local,Amigos,Soltero,Ninguna,No,0.4,0.8,Si,Demanda Laboral,Si,Si,0.8,Lectura,0.45454545454545453,Renta Económica,Si,No
46,Femenino,0.2222222222222222,Urbana,Privada,0.25925925925925924,Ciencias Sociales,0.6964285714285714,0.6415094339622641,0.3333333333333333,0.5806451612903226,No,5k-10k,No,Padres,Local,Otros,Casado,Ninguna,No,0.1,0.8,No,Amigos/Familia,No,No,0.8,Viajar,0.45454545454545453,Renta Económica,No,No
47,Femenino,0.2222222222222222,Urbana,Publica,0.8148148148148148,Ingenieria,0.5535714285714286,0.49056603773584906,0.4,0.4838709677419355,No,5k-10k,No,Padres,Local,Amigos,Soltero,Ninguna,No,0.3,0.8,No,Amigos/Familia,Si,No,0.8,Lectura,0.45454545454545453,Cercanía,Si,Si
48,Masculino,0.3333333333333333,Urbana,Privada,0.5,Ciencias Naturales,0.6964285714285714,0.4528301886792453,0.5,0.45161290322580644,Si,<5k,Si,Padres,Foraneo,Otros,Soltero,Ninguna,Si,0.4,0.6,No,Amigos/Familia,Si,No,0.6,Arte,0.45454545454545453,Vocación,No,No
49,Masculino,0.2222222222222222,Rural,Privada,0.35185185185185186,Humanidades,0.5892857142857143,0.4528301886792453,0.65,0.1935483870967742,Si,10k-20k,No,Padres,Foraneo,Otros,Soltero,Ninguna,No,0.5,0.6,No,Amigos/Familia,Si,No,0.6,Tecnología,0.5454545454545454,Vocación,Si,Si
50,Femenino,0.6666666666666666,Urbana,Publica,0.37037037037037035,Humanidades,0.625,0.4716981132075472,0.4166666666666667,0.5161290322580645,No,<5k,No,Beca,Local,Otros,Soltero,Ninguna,Si,0.4,0.6,No,Gusto Personal,Si,No,0.6,Viajar,0.36363636363636365,Influencia Familiar,No,No
51,Masculino,0.3333333333333333,Rural,Publica,0.24074074074074073,Ingenieria,0.8392857142857143,0.16981132075471697,0.5166666666666667,0.6774193548387096,Si,10k-20k,No,Beca,Local,Amigos,Soltero,Motriz,Si,0.3,0.8,Si,Prestigio,Si,Si,0.8,Deportes,0.36363636363636365,Renta Económica,No,No
52,Masculino,0.2222222222222222,Rural,Privada,0.6111111111111112,Ciencias Sociales,0.7678571428571429,0.6226415094339622,0.55,0.9032258064516129,Si,5k-10k,Si,Padres,Foraneo,Otros,Soltero,Ninguna,No,0.7,0.6,No,Prestigio,Si,No,0.6,Arte,0.8181818181818182,Cercanía,Si,Si
53,Masculino,0.2222222222222222,Urbana,Publica,0.7777777777777778,Humanidades,0.75,0.2830188679245283,0.6333333333333333,0.25806451612903225,No,5k-10k,No,Beca,Foraneo,Solo,Soltero,Ninguna,No,0.4,0.8,No,Gusto Personal,Si,No,0.8,Deportes,0.2727272727272727,Renta Económica,Si,No
54,Femenino,0.3333333333333333,Urbana,Privada,0.2777777777777778,Humanidades,0.6428571428571429,0.6037735849056604,0.45,0.3870967741935484,No,<5k,No,Trabajo Propio,Local,Amigos,Soltero,Ninguna,Si,0.3,0.6,Si,Sueldo,Si,Si,0.6,Tecnología,0.2727272727272727,Renta Económica,No,No
55,Femenino,0.6666666666666666,Urbana,Privada,0.48148148148148145,Ciencias Sociales,0.6071428571428571,0.6226415094339622,0.75,0.8064516129032258,No,10k-20k,Si,Padres,Local,Familia,Soltero,Motriz,Si,0.4,0.6,No,Sueldo,No,No,0.6,Deportes,0.2727272727272727,Cercanía,Si,No
56,Femenino,0.3333333333333333,Rural,Privada,0.5740740740740741,Ingenieria,0.5892857142857143,0.3018867924528302,0.1,0.5483870967741935,Si,10k-20k,No,Trabajo Propio,Local,Amigos,Soltero,Ninguna,Si,0.5,0.4,No,Sueldo,Si,No,0.4,Arte,0.7272727272727273,Cercanía,No,Si
57,Masculino,0.1111111111111111,Urbana,Publica,0.4074074074074074,Humanidades,0.5178571428571429,0.39622641509433965,0.5,0.5806451612903226,No,<5k,No,Beca,Local,Amigos,Soltero,Ninguna,No,0.5,0.8,No,Demanda Laboral,Si,Si,0.8,Lectura,0.45454545454545453,Prestigio,Si,No
58,Femenino,0.3333333333333333,Rural,Publica,0.7592592592592593,Humanidades,0.75,1.0,0.38333333333333336,0.22580645161290322,Si,>20k,Si,Otro,Local,Familia,Soltero,Ninguna,No,0.2,0.6,No,Sueldo,No,No,0.6,Lectura,0.5454545454545454,Renta Económica,Si,Si
59,Femenino,0.0,Urbana,Publica,0.2037037037037037,Ciencias Naturales,0.8392857142857143,0.6037735849056604,0.8333333333333334,0.3870967741935484,Si,5k-10k,Si,Otro,Foraneo,Amigos,Soltero,Ninguna,No,0.3,0.6,No,Gusto Personal,Si,Si,0.6,Tecnología,0.6363636363636364,Influencia Familiar,No,No
60,Masculino,0.3333333333333333,Rural,Publica,0.5925925925925926,Humanidades,0.5357142857142857,0.5471698113207547,0.7666666666666667,0.3225806451612903,No,<5k,No,Beca,Local,Amigos,Soltero,Ninguna,Si,0.6,0.4,Si,Amigos/Familia,Si,No,0.4,Lectura,0.18181818181818182,Prestigio,No,No
61,Femenino,0.4444444444444444,Urbana,Publica,0.5185185185185185,Arte,0.625,0.8113207547169812,0.5666666666666667,0.7419354838709677,No,<5k,No,Trabajo Propio,Local,Amigos,Casado,Ninguna,No,0.5,0.6,No,Sueldo,No,No,0.6,Lectura,0.6363636363636364,Influencia Familiar,No,Si
62,Femenino,0.5555555555555556,Urbana,Privada,0.14814814814814814,Ciencias Naturales,0.8392857142857143,0.7924528301886793,0.5833333333333334,0.3548387096774194,No,5k-10k,No,Otro,Local,Familia,Soltero,Ninguna,Si,0.4,0.6,No,Gusto Personal,No,No,0.6,Arte,0.36363636363636365,Renta Económica,Si,Si
63,Masculino,0.4444444444444444,Urbana,Publica,0.6481481481481481,Arte,0.5714285714285714,0.41509433962264153,0.6833333333333333,0.3870967741935484,No,<5k,No,Beca,Local,Solo,Soltero,Ninguna,Si,0.5,0.8,Si,Amigos/Familia,No,No,0.8,Tecnología,0.18181818181818182,Influencia Familiar,Si,Si
64,Femenino,0.4444444444444444,Rural,Privada,0.4444444444444444,Ingenieria,0.44642857142857145,0.2830188679245283,0.6833333333333333,0.7096774193548387,No,10k-20k,Si,Beca,Foraneo,Amigos,Soltero,Ninguna,No,0.5,0.6,Si,Amigos/Familia,Si,Si,0.6,Lectura,0.6363636363636364,Influencia Familiar,No,No
65,Femenino,0.4444444444444444,Rural,Privada,0.4444444444444444,Humanidades,0.8035714285714286,0.5660377358490566,0.48333333333333334,0.5806451612903226,Si,>20k,Si,Beca,Local,Otros,Soltero,Ninguna,No,0.2,0.8,No,Amigos/Familia,No,Si,0.8,Viajar,0.36363636363636365,Renta Económica,No,No
66,Femenino,0.2222222222222222,Rural,Publica,0.9814814814814815,Ingenieria,1.0,0.6037735849056604,0.6666666666666666,0.4838709677419355,Si,>20k,No,Beca,Foraneo,Familia,Soltero,Ninguna,No,0.2,0.8,Si,Gusto Personal,Si,Si,0.8,Arte,0.2727272727272727,Vocación,Si,Si
67,Masculino,0.1111111111111111,Rural,Privada,0.42592592592592593,Arte,0.5535714285714286,0.5094339622641509,0.48333333333333334,0.5161290322580645,Si,>20k,No,Padres,Foraneo,Otros,Soltero,Ninguna,No,0.5,1.0,Si,Gusto Personal,No,Si,1.0,Arte,0.5454545454545454,Influencia Familiar,No,Si
68,Masculino,0.3333333333333333,Urbana,Privada,0.7962962962962963,Ciencias Naturales,0.8392857142857143,0.49056603773584906,0.2833333333333333,0.41935483870967744,No,10k-20k,Si,Trabajo Propio,Foraneo,Amigos,Soltero,Ninguna,No,0.3,0.2,Si,Demanda Laboral,No,Si,0.2,Deportes,0.5454545454545454,Renta Económica,No,Si
69,Masculino,0.2222222222222222,Rural,Privada,0.25925925925925924,Arte,0.32142857142857145,0.6981132075471698,0.03333333333333333,0.6774193548387096,No,5k-10k,No,Trabajo Propio,Foraneo,Otros,Soltero,Ninguna,No,0.4,0.6,Si,Gusto Personal,No,Si,0.6,Lectura,0.6363636363636364,Prestigio,Si,Si
70,Femenino,0.0,Urbana,Publica,0.8518518518518519,Ingenieria,0.5357142857142857,0.5660377358490566,0.7333333333333333,0.5483870967741935,Si,<5k,No,Beca,Foraneo,Solo,Soltero,Ninguna,Si,0.5,0.8,No,Demanda Laboral,No,Si,0.8,Tecnología,0.5454545454545454,Vocación,Si,No
71,Femenino,0.2222222222222222,Rural,Publica,0.7037037037037037,Humanidades,0.5,0.4716981132075472,0.48333333333333334,0.1935483870967742,No,<5k,No,Otro,Local,Otros,Soltero,Ninguna,Si,0.2,0.8,Si,Prestigio,Si,No,0.8,Viajar,0.2727272727272727,Influencia Familiar,No,No
72,Masculino,0.1111111111111111,Rural,Privada,0.6111111111111112,Arte,0.5535714285714286,0.49056603773584906,0.3333333333333333,0.5806451612903226,No,10k-20k,No,Beca,Local,Amigos,Soltero,Ninguna,No,0.2,0.8,No,Demanda Laboral,No,No,0.8,Tecnología,0.5454545454545454,Vocación,No,Si
73,Femenino,0.3333333333333333,Rural,Privada,0.46296296296296297,Humanidades,0.4107142857142857,0.39622641509433965,0.36666666666666664,0.5161290322580645,No,<5k,Si,Beca,Foraneo,Amigos,Soltero,Ninguna,No,0.6,0.4,No,Sueldo,No,Si,0.4,Arte,0.6363636363636364,Influencia Familiar,Si,No
74,Masculino,0.3333333333333333,Rural,Privada,0.5740740740740741,Humanidades,0.48214285714285715,0.5094339622641509,0.16666666666666666,0.6774193548387096,No,5k-10k,No,Beca,Foraneo,Familia,Soltero,Ninguna,No,0.3,0.6,No,Prestigio,Si,No,0.6,Lectura,0.45454545454545453,Cercanía,No,No
75,Femenino,1.0,Urbana,Privada,0.3333333333333333,Ciencias Naturales,1.0,0.37735849056603776,0.38333333333333336,0.2903225806451613,No,10k-20k,No,Beca,Foraneo,Amigos,Soltero,Ninguna,No,0.8,0.6,No,Demanda Laboral,Si,No,0.6,Viajar,0.18181818181818182,Vocación,No,No
76,Femenino,0.4444444444444444,Rural,Publica,0.4444444444444444,Ingenieria,0.7321428571428571,0.6981132075471698,0.4666666666666667,0.6129032258064516,No,5k-10k,No,Padres,Foraneo,Solo,Soltero,Ninguna,No,0.4,0.8,Si,Sueldo,Si,Si,0.8,Viajar,0.18181818181818182,Cercanía,No,No
77,Masculino,0.0,Urbana,Publica,0.6666666666666666,Humanidades,0.5,0.5660377358490566,0.55,0.3548387096774194,No,<5k,Si,Beca,Local,Otros,Casado,Ninguna,No,0.3,0.8,No,Sueldo,No,Si,0.8,Lectura,0.5454545454545454,Vocación,No,No
78,Femenino,0.1111111111111111,Urbana,Privada,0.35185185185185186,Ciencias Sociales,0.6785714285714286,0.660377358490566,0.6666666666666666,0.8387096774193549,No,5k-10k,No,Otro,Foraneo,Amigos,Casado,Ninguna,Si,0.3,0.6,Si,Prestigio,Si,No,0.6,Tecnología,0.5454545454545454,Prestigio,Si,No
79,Masculino,0.2222222222222222,Rural,Publica,0.5185185185185185,Ingenieria,0.7678571428571429,0.8113207547169812,0.05,0.3225806451612903,Si,10k-20k,No,Padres,Local,Familia,Soltero,Ninguna,Si,0.5,0.6,No,Gusto Personal,Si,No,0.6,Deportes,0.5454545454545454,Vocación,No,No
80,Masculino,0.2222222222222222,Rural,Publica,0.5185185185185185,Humanidades,0.6785714285714286,0.3018867924528302,0.7833333333333333,0.5806451612903226,Si,>20k,No,Padres,Local,Otros,Divorciado,Ninguna,Si,0.4,0.8,No,Sueldo,Si,No,0.8,Viajar,0.6363636363636364,Cercanía,Si,No
81,Masculino,0.5555555555555556,Rural,Privada,0.3148148148148148,Ciencias Naturales,0.9107142857142857,0.49056603773584906,0.9333333333333333,0.3870967741935484,No,<5k,No,Padres,Local,Solo,Soltero,Auditiva,No,0.3,0.8,No,Prestigio,Si,No,0.8,Deportes,0.6363636363636364,Influencia Familiar,Si,No
