Fertilizante_Nitrogenado,Fertilizante_Fosfatado,Agua_Riego,Temperatura,PH_Suelo,Rendimiento
132.25,118.62,364.05,21.02,6.45,7.92
166.41,171.97,487.12,16.84,6.66,10.45
143.93,121.73,411.60,21.79,6.77,8.61
143.47,131.97,385.69,19.03,6.40,8.60
182.96,159.77,506.81,20.29,7.04,10.19
174.76,181.51,519.04,23.22,6.57,11.99
174.41,162.47,476.70,21.79,6.65,10.30
189.16,186.81,478.85,19.46,6.70,11.80
150.63,118.22,335.67,18.22,6.63,8.67
170.46,160.37,387.66,15.70,6.75,9.51
140.69,145.90,366.12,18.56,6.31,8.84
159.72,149.01,388.97,19.58,6.33,9.50
146.10,152.86,382.84,18.03,6.17,7.90
152.91,134.57,408.65,19.74,6.63,8.93
167.85,175.42,462.19,20.15,6.73,10.69
125.45,154.85,347.38,19.55,6.64,8.47
212.77,184.77,549.87,18.70,7.00,10.84
119.82,109.17,342.86,20.34,6.50,7.76
113.57,132.66,228.38,20.88,6.70,8.30
184.74,191.49,422.52,17.82,6.17,11.02
173.75,151.16,440.30,22.82,6.38,10.17
168.72,148.68,376.96,19.80,6.71,9.90
168.85,150.85,467.70,20.04,6.75,9.75
149.63,119.54,475.80,21.42,6.41,8.44
123.08,104.69,407.10,20.47,6.48,7.65
152.27,126.76,393.88,21.91,6.04,9.80
129.69,112.23,433.91,20.57,6.39,8.35
179.25,162.88,465.94,18.78,6.77,10.06
145.59,139.98,374.32,20.72,6.67,8.77
125.24,143.45,319.80,17.71,6.65,8.95
140.36,117.31,365.59,20.22,6.51,9.23
162.39,164.68,405.37,19.93,6.50,10.85
133.09,123.26,374.70,19.58,6.30,8.22
125.33,119.52,358.70,19.74,6.71,8.17
157.31,155.97,414.77,16.24,6.63,8.40
157.35,129.04,436.54,18.90,6.65,9.86
134.79,133.57,429.12,20.19,6.34,8.25
135.87,131.19,419.22,20.32,5.85,8.79
156.96,152.96,339.68,17.94,6.83,8.31
106.56,109.58,185.42,22.53,6.36,6.63
107.78,143.05,362.27,18.27,6.24,7.47
128.45,113.19,288.55,21.94,6.71,7.56
143.60,126.91,375.95,20.85,6.38,8.45
159.33,138.11,360.15,18.71,6.82,8.59
194.26,167.08,398.42,23.55,6.69,11.12
175.73,151.02,478.53,17.61,6.71,9.34
145.20,154.00,428.36,21.84,6.09,9.57
149.43,160.85,370.03,22.00,6.86,9.99
119.92,107.38,210.30,18.66,6.58,6.65
149.44,127.07,371.58,22.78,6.39,8.65
141.34,140.14,402.27,19.50,6.54,8.77
159.68,139.46,345.42,20.58,5.97,9.55
125.18,129.64,359.53,20.52,6.62,8.37
165.58,155.51,430.40,19.73,6.19,9.44
195.98,154.05,520.93,21.62,6.09,11.16
146.74,160.60,399.45,21.59,6.04,8.86
162.05,176.58,375.45,16.50,6.83,9.69
170.70,147.37,501.24,22.61,6.31,10.56
137.96,124.56,368.00,16.68,6.96,7.89
156.72,149.67,412.08,22.07,6.34,9.19
150.38,145.32,354.09,22.25,5.99,8.64
152.93,152.22,383.70,17.82,6.17,9.24
126.81,151.60,309.38,19.18,6.87,8.82
150.74,137.93,392.82,17.79,6.45,8.50
164.94,139.98,515.47,19.57,6.34,10.13
193.53,154.14,418.47,19.38,6.55,9.16
178.78,152.06,376.88,21.56,6.65,9.57
214.60,191.18,602.75,22.62,6.84,12.35
126.98,148.50,343.49,22.79,6.93,8.22
176.17,153.17,418.89,18.88,6.39,9.31
155.50,147.76,463.00,19.58,6.10,9.19
215.69,192.31,501.11,16.63,6.38,11.49
125.75,138.43,442.80,18.39,6.58,8.53
124.81,157.75,383.51,21.93,6.21,7.80
132.02,117.65,339.64,23.23,6.21,7.31
86.28,81.68,380.43,17.53,6.60,6.28
134.23,143.04,338.17,18.82,6.49,8.63
127.23,132.01,391.56,19.95,6.51,7.10
154.51,171.31,423.99,20.56,6.27,9.54
160.25,156.96,485.59,18.38,6.43,9.55
206.29,179.64,590.65,20.85,6.22,12.50
178.51,171.67,458.63,19.05,6.77,10.10
132.69,142.78,327.71,19.97,6.81,8.56
123.05,130.75,369.09,21.09,5.95,8.34
164.76,159.42,395.63,20.01,6.22,8.54
110.39,124.31,421.46,19.13,6.05,8.39
204.94,201.49,516.71,19.78,6.30,11.75
185.38,189.04,452.50,19.82,6.47,11.04
135.92,138.47,381.08,19.26,6.07,10.50
98.61,96.38,229.86,19.48,6.22,5.42
190.62,174.69,432.65,23.20,6.20,11.72
146.56,155.35,453.15,21.12,6.56,9.48
187.13,157.45,441.42,19.41,6.52,10.39
102.17,107.26,251.99,21.39,6.28,6.99
132.02,119.71,390.87,19.33,6.55,8.10
150.16,140.56,459.60,22.35,6.34,9.33
151.41,160.30,438.77,20.74,6.42,9.85
136.50,132.06,422.80,19.79,7.00,7.94
168.69,155.64,399.53,20.90,6.90,10.09
117.97,93.98,264.85,16.86,6.11,6.49
145.73,147.78,466.52,17.75,6.75,8.62
153.61,152.57,391.08,17.61,6.74,8.80
165.43,184.80,418.32,20.29,6.16,10.76
171.35,152.46,509.11,23.47,6.75,10.29
116.26,116.30,360.33,24.46,6.96,8.40
103.98,106.92,330.75,21.28,6.16,7.03
188.33,194.33,584.91,21.00,6.22,12.03
159.97,146.55,387.76,16.40,6.81,9.26
127.55,126.22,401.48,18.91,6.58,9.25
196.53,186.35,495.92,18.42,6.67,10.93
153.47,145.58,420.37,18.76,6.60,9.54
185.38,161.61,547.18,19.66,6.62,10.86
152.03,144.53,429.44,19.06,6.10,9.83
211.82,205.56,550.56,16.04,6.81,11.25
202.66,166.73,558.95,21.50,6.85,11.80
142.53,136.02,366.81,17.85,6.43,8.40
179.15,152.82,416.33,20.48,6.49,9.97
169.36,173.41,386.48,24.15,6.04,10.29
191.06,150.00,383.80,18.16,6.65,9.90
121.05,108.46,444.91,14.94,6.67,7.67
170.58,162.12,386.00,19.43,6.48,9.82
181.75,188.89,452.44,22.20,6.84,11.67
97.24,96.80,280.63,23.92,6.40,7.66
114.50,103.27,344.37,17.54,6.67,7.72
88.82,119.28,318.43,20.99,6.19,6.97
141.92,111.81,426.86,19.07,6.49,8.11
171.53,124.24,413.90,19.79,6.45,9.81
195.07,182.66,481.79,25.29,6.57,12.00
152.22,134.25,418.57,16.99,6.39,9.56
198.86,163.77,485.28,20.51,6.46,10.60
108.60,117.50,397.56,20.94,6.75,7.85
98.90,102.78,322.35,22.17,6.37,6.50
148.33,130.21,433.41,20.20,6.02,8.81
161.52,130.01,456.19,20.62,7.02,9.92
149.02,152.30,456.71,19.22,6.91,9.15
87.98,100.13,285.00,20.54,6.11,6.98
147.33,136.37,329.81,19.31,6.71,8.44
110.87,136.39,341.72,21.24,6.35,8.23
170.09,140.02,407.61,19.26,6.58,8.88
161.00,125.92,395.57,20.75,6.59,9.19
121.80,107.06,372.93,19.94,6.43,6.39
134.58,126.98,431.08,22.25,6.26,8.84
118.22,118.23,337.51,19.90,6.29,6.96
148.12,134.88,411.68,16.45,6.23,9.24
178.65,168.20,542.42,22.52,6.25,11.40
120.43,97.57,352.89,18.19,6.48,7.68
165.12,173.75,560.33,18.69,6.29,11.30
134.09,126.04,396.46,18.81,6.70,7.92
126.21,137.73,264.39,22.75,6.95,8.97
146.79,142.57,431.25,15.73,6.33,9.23
118.94,122.01,356.94,26.28,6.57,8.49
133.39,135.26,431.27,22.11,6.65,9.60
114.06,117.97,361.79,20.45,6.64,7.32
208.94,196.79,510.96,19.89,6.52,11.26
151.06,160.78,340.90,20.57,6.72,8.85
129.01,126.15,347.57,21.04,6.64,8.02
156.42,155.77,370.31,21.29,6.13,8.84
146.63,135.96,364.23,21.11,6.76,9.46
143.37,156.30,416.17,20.18,6.77,9.13
168.43,144.59,520.35,19.61,6.27,10.23
172.73,185.19,465.18,19.70,6.51,10.24
134.08,126.67,308.38,19.61,6.70,7.13
132.73,104.72,387.68,22.27,6.44,8.51
141.75,135.32,443.33,21.19,6.82,8.18
80.94,74.54,231.40,14.12,7.21,5.13
104.54,116.25,302.39,21.31,6.26,6.75
191.01,163.02,482.75,20.39,6.09,11.63
199.35,172.79,459.45,19.96,6.59,11.31
142.53,105.68,417.47,19.22,6.72,8.46
167.30,147.05,428.55,22.25,6.43,10.54
159.34,111.11,439.65,21.90,6.94,8.73
242.37,190.13,540.36,18.45,6.10,12.44
183.59,178.28,445.30,20.81,6.71,10.71
146.16,148.72,428.44,18.06,6.32,9.20
121.33,123.45,324.03,17.24,7.02,8.16
101.81,86.94,389.96,18.75,7.10,7.41
156.10,144.17,392.23,21.72,6.27,9.52
127.31,121.79,365.85,21.91,6.34,7.53
107.33,88.49,361.29,21.03,6.76,6.85
130.60,147.03,290.29,21.45,6.38,8.33
117.55,127.20,247.07,21.03,6.49,7.64
200.61,177.18,424.95,18.72,6.51,10.10
176.45,161.56,516.03,20.86,5.92,11.71
149.76,142.93,371.93,21.60,6.50,9.92
194.40,144.89,616.71,21.51,6.29,11.56
152.32,138.15,376.43,22.38,6.35,9.25
124.16,109.10,357.55,21.42,6.93,7.86
195.69,161.53,568.49,20.70,6.12,10.70
166.17,148.72,532.64,22.14,6.74,10.42
118.88,142.07,440.84,19.95,6.42,8.82
144.29,145.04,449.00,18.24,6.42,8.49
123.73,110.42,398.67,19.67,6.74,8.21
108.52,115.40,346.66,18.51,6.60,7.39
