genero,edad,ubicacion,tipo_escuela,transporte_a_la_escuela,area_de_la_carrera,promedio_inicial,promedio_medio,promedio_final,horas_estudio_semanal,otra_carrera_previa,nivel_ingresos_rango,trabaja,apoyo_economico,foraneo_o_local,con_quien_vive,estado_civil,discapacidad,problemas_socioeconomicos,horas_sueño,nivel_estres_percibido,recibio_orientacion_vocacional,razon_principal_eleccion_carrera,problemas_familiares,problemas_psicologicos,nivel_de_satisfaccion,hobbies,amigos_cercanos,motivo_eleccion_carrera,expectativas_cumplidas,deserto
Femenino,20,Urbana,Privada,30,Arte,90,71,84,20,No,5k-10k,Si,Padres,Foraneo,Solo,Soltero,Ninguna,No,5,3,Si,Amigos/Familia,Si,Si,2,Viajar,7,Vocación,Si,Si
Masculino,18,Urbana,Privada,24,Ingenieria,81,90,64,9,No,5k-10k,No,Otro,Local,Solo,Soltero,Ninguna,No,2,3,No,Prestigio,Si,No,4,Viajar,6,Cercanía,No,Si
Femenino,21,Rural,Privada,43,Humanidades,100,74,61,15,Si,5k-10k,No,Otro,Local,Otros,Soltero,Ninguna,Si,6,2,Si,Prestigio,Si,No,2,Deportes,6,Renta Económica,Si,No
Femenino,23,Urbana,Publica,33,Humanidades,71,87,61,14,No,<5k,No,Padres,Local,Solo,Casado,Ninguna,Si,6,1,Si,Gusto Personal,Si,Si,5,Deportes,5,Cercanía,Si,Si
Masculino,22,Urbana,Privada,38,Arte,67,66,78,16,Si,<5k,Si,Beca,Foraneo,Otros,Soltero,Ninguna,Si,5,3,Si,Amigos/Familia,No,Si,3,Viajar,5,Prestigio,No,No
Femenino,20,Rural,Privada,45,Ciencias Naturales,93,87,60,11,No,5k-10k,No,Padres,Foraneo,Solo,Soltero,Ninguna,Si,5,0,Si,Amigos/Familia,Si,No,3,Viajar,7,Renta Económica,Si,No
Masculino,21,Urbana,Privada,50,Humanidades,71,77,65,16,Si,5k-10k,No,Padres,Local,Otros,Soltero,Ninguna,Si,5,3,No,Gusto Personal,Si,No,4,Arte,4,Renta Económica,No,No
Masculino,22,Urbana,Publica,38,Humanidades,87,82,75,20,No,<5k,Si,Otro,Local,Amigos,Soltero,Ninguna,No,6,3,Si,Demanda Laboral,Si,Si,4,Lectura,5,Renta Económica,Si,No
Femenino,20,Urbana,Privada,18,Ciencias Sociales,83,81,60,18,No,5k-10k,No,Padres,Local,Otros,Casado,Ninguna,No,3,2,No,Amigos/Familia,No,No,4,Viajar,5,Renta Económica,No,No
Femenino,20,Urbana,Publica,48,Ingenieria,75,73,64,15,No,5k-10k,No,Padres,Local,Amigos,Soltero,Ninguna,No,5,2,No,Amigos/Familia,Si,No,4,Lectura,5,Cercanía,Si,Si
Masculino,21,Urbana,Privada,31,Ciencias Naturales,83,71,70,14,Si,<5k,Si,Padres,Foraneo,Otros,Soltero,Ninguna,Si,6,2,No,Amigos/Familia,Si,No,3,Arte,5,Vocación,No,No
Masculino,20,Rural,Privada,23,Humanidades,77,71,79,6,Si,10k-20k,No,Padres,Foraneo,Otros,Soltero,Ninguna,No,7,3,No,Amigos/Familia,Si,No,3,Tecnología,6,Vocación,Si,Si
Femenino,24,Urbana,Publica,24,Humanidades,79,72,65,16,No,<5k,No,Beca,Local,Otros,Soltero,Ninguna,Si,6,3,No,Gusto Personal,Si,No,3,Viajar,4,Influencia Familiar,No,No
Masculino,21,Rural,Publica,17,Ingenieria,91,56,71,21,Si,10k-20k,No,Beca,Local,Amigos,Soltero,Motriz,Si,5,2,Si,Prestigio,Si,Si,4,Deportes,4,Renta Económica,No,No
Masculino,20,Rural,Privada,37,Ciencias Sociales,87,80,73,28,Si,5k-10k,Si,Padres,Foraneo,Otros,Soltero,Ninguna,No,9,2,No,Prestigio,Si,No,3,Arte,9,Cercanía,Si,Si
Masculino,20,Urbana,Publica,46,Humanidades,86,62,78,8,No,5k-10k,No,Beca,Foraneo,Solo,Soltero,Ninguna,No,6,3,No,Gusto Personal,Si,No,4,Deportes,3,Renta Económica,Si,No
Femenino,21,Urbana,Privada,19,Humanidades,80,79,67,12,No,<5k,No,Trabajo Propio,Local,Amigos,Soltero,Ninguna,Si,5,1,Si,Sueldo,Si,Si,3,Tecnología,3,Renta Económica,No,No
Femenino,24,Urbana,Privada,30,Ciencias Sociales,78,80,85,25,No,10k-20k,Si,Padres,Local,Familia,Soltero,Motriz,Si,6,2,No,Sueldo,No,No,3,Deportes,3,Cercanía,Si,No
Femenino,21,Rural,Privada,35,Ingenieria,77,63,46,17,Si,10k-20k,No,Trabajo Propio,Local,Amigos,Soltero,Ninguna,Si,7,3,No,Sueldo,Si,No,2,Arte,8,Cercanía,No,Si
Masculino,19,Urbana,Publica,26,Humanidades,73,68,70,18,No,<5k,No,Beca,Local,Amigos,Soltero,Ninguna,No,7,3,No,Demanda Laboral,Si,Si,4,Lectura,5,Prestigio,Si,No
Femenino,21,Rural,Publica,45,Humanidades,86,100,63,7,Si,>20k,Si,Otro,Local,Familia,Soltero,Ninguna,No,4,3,No,Sueldo,No,No,3,Lectura,6,Renta Económica,Si,Si
Femenino,18,Urbana,Publica,15,Ciencias Naturales,91,79,90,12,Si,5k-10k,Si,Otro,Foraneo,Amigos,Soltero,Ninguna,No,5,2,No,Gusto Personal,Si,Si,3,Tecnología,7,Influencia Familiar,No,No
Masculino,21,Rural,Publica,36,Humanidades,74,76,86,10,No,<5k,No,Beca,Local,Amigos,Soltero,Ninguna,Si,8,2,Si,Amigos/Familia,Si,No,2,Lectura,2,Prestigio,No,No
Femenino,22,Urbana,Publica,32,Arte,79,90,74,23,No,<5k,No,Trabajo Propio,Local,Amigos,Casado,Ninguna,No,7,1,No,Sueldo,No,No,3,Lectura,7,Influencia Familiar,No,Si
Femenino,23,Urbana,Privada,12,Ciencias Naturales,91,89,75,11,No,5k-10k,No,Otro,Local,Familia,Soltero,Ninguna,Si,6,3,No,Gusto Personal,No,No,3,Arte,4,Renta Económica,Si,Si
Masculino,22,Urbana,Publica,39,Arte,76,69,81,12,No,<5k,No,Beca,Local,Solo,Soltero,Ninguna,Si,7,2,Si,Amigos/Familia,No,No,4,Tecnología,2,Influencia Familiar,Si,Si
Femenino,22,Rural,Privada,28,Ingenieria,69,62,81,22,No,10k-20k,Si,Beca,Foraneo,Amigos,Soltero,Ninguna,No,7,3,Si,Amigos/Familia,Si,Si,3,Lectura,7,Influencia Familiar,No,No
Femenino,22,Rural,Privada,28,Humanidades,89,77,69,18,Si,>20k,Si,Beca,Local,Otros,Soltero,Ninguna,No,4,1,No,Amigos/Familia,No,Si,4,Viajar,4,Renta Económica,No,No
Femenino,20,Rural,Publica,57,Ingenieria,100,79,80,15,Si,>20k,No,Beca,Foraneo,Familia,Soltero,Ninguna,No,4,2,Si,Gusto Personal,Si,Si,4,Arte,3,Vocación,Si,Si
Masculino,19,Rural,Privada,27,Arte,75,74,69,16,Si,>20k,No,Padres,Foraneo,Otros,Soltero,Ninguna,No,7,2,Si,Gusto Personal,No,Si,5,Arte,6,Influencia Familiar,No,Si
Masculino,21,Urbana,Privada,47,Ciencias Naturales,91,73,57,13,No,10k-20k,Si,Trabajo Propio,Foraneo,Amigos,Soltero,Ninguna,No,5,3,Si,Demanda Laboral,No,Si,1,Deportes,6,Renta Económica,No,Si
Masculino,20,Rural,Privada,18,Arte,62,84,42,21,No,5k-10k,No,Trabajo Propio,Foraneo,Otros,Soltero,Ninguna,No,6,2,Si,Gusto Personal,No,Si,3,Lectura,7,Prestigio,Si,Si
Femenino,18,Urbana,Publica,50,Ingenieria,74,77,84,17,Si,<5k,No,Beca,Foraneo,Solo,Soltero,Ninguna,Si,7,3,No,Demanda Laboral,No,Si,4,Tecnología,6,Vocación,Si,No
Femenino,20,Rural,Publica,42,Humanidades,72,72,69,6,No,<5k,No,Otro,Local,Otros,Soltero,Ninguna,Si,4,2,Si,Prestigio,Si,No,4,Viajar,3,Influencia Familiar,No,No
Masculino,19,Rural,Privada,37,Arte,75,73,60,18,No,10k-20k,No,Beca,Local,Amigos,Soltero,Ninguna,No,4,2,No,Demanda Laboral,No,No,4,Tecnología,6,Vocación,No,Si
Femenino,21,Rural,Privada,29,Humanidades,67,68,62,16,No,<5k,Si,Beca,Foraneo,Amigos,Soltero,Ninguna,No,8,2,No,Sueldo,No,Si,2,Arte,7,Influencia Familiar,Si,No
Masculino,21,Rural,Privada,35,Humanidades,71,74,50,21,No,5k-10k,No,Beca,Foraneo,Familia,Soltero,Ninguna,No,5,2,No,Prestigio,Si,No,3,Lectura,5,Cercanía,No,No
Femenino,27,Urbana,Privada,22,Ciencias Naturales,100,67,63,9,No,10k-20k,No,Beca,Foraneo,Amigos,Soltero,Ninguna,No,10,2,No,Demanda Laboral,Si,No,3,Viajar,2,Vocación,No,No
Femenino,22,Rural,Publica,28,Ingenieria,85,84,68,19,No,5k-10k,No,Padres,Foraneo,Solo,Soltero,Ninguna,No,6,1,Si,Sueldo,Si,Si,4,Viajar,2,Cercanía,No,No
Masculino,18,Urbana,Publica,40,Humanidades,72,77,73,11,No,<5k,Si,Beca,Local,Otros,Casado,Ninguna,No,5,2,No,Sueldo,No,Si,4,Lectura,6,Vocación,No,No
Femenino,19,Urbana,Privada,23,Ciencias Sociales,82,82,80,26,No,5k-10k,No,Otro,Foraneo,Amigos,Casado,Ninguna,Si,5,2,Si,Prestigio,Si,No,3,Tecnología,6,Prestigio,Si,No
Masculino,20,Rural,Publica,32,Ingenieria,87,90,43,10,Si,10k-20k,No,Padres,Local,Familia,Soltero,Ninguna,Si,7,2,No,Gusto Personal,Si,No,3,Deportes,6,Vocación,No,No
Masculino,20,Rural,Publica,32,Humanidades,82,63,87,18,Si,>20k,No,Padres,Local,Otros,Divorciado,Ninguna,Si,6,2,No,Sueldo,Si,No,4,Viajar,7,Cercanía,Si,No
Masculino,23,Rural,Privada,21,Ciencias Naturales,95,73,96,12,No,<5k,No,Padres,Local,Solo,Soltero,Auditiva,No,5,4,No,Prestigio,Si,No,4,Deportes,7,Influencia Familiar,Si,No
Femenino,20,Rural,Publica,35,Arte,70,76,47,17,Si,10k-20k,Si,Otro,Local,Familia,Soltero,Ninguna,No,7,3,No,Prestigio,Si,Si,4,Tecnología,4,Renta Económica,Si,No
Masculino,20,Urbana,Publica,18,Ciencias Naturales,100,77,82,16,No,<5k,No,Padres,Foraneo,Amigos,Soltero,Ninguna,Si,6,2,Si,Gusto Personal,Si,Si,5,Arte,5,Influencia Familiar,Si,Si
Masculino,19,Urbana,Privada,31,Humanidades,85,52,46,11,Si,5k-10k,Si,Trabajo Propio,Foraneo,Amigos,Soltero,Ninguna,No,6,2,Si,Prestigio,Si,Si,3,Tecnología,5,Renta Económica,No,No
Femenino,19,Urbana,Publica,31,Ciencias Naturales,76,70,77,12,Si,5k-10k,No,Trabajo Propio,Foraneo,Otros,Soltero,Cognitiva,No,7,2,No,Prestigio,No,Si,3,Lectura,2,Cercanía,Si,Si
Femenino,22,Urbana,Publica,43,Ciencias Naturales,79,81,71,16,No,5k-10k,No,Trabajo Propio,Local,Familia,Soltero,Ninguna,No,7,2,Si,Gusto Personal,No,Si,3,Deportes,6,Cercanía,No,Si
Femenino,19,Urbana,Publica,33,Arte,91,71,73,18,Si,10k-20k,No,Beca,Foraneo,Amigos,Soltero,Auditiva,No,7,4,Si,Prestigio,Si,Si,5,Deportes,5,Influencia Familiar,Si,No
Masculino,20,Rural,Privada,33,Ingenieria,78,64,69,20,Si,<5k,Si,Trabajo Propio,Foraneo,Solo,Soltero,Ninguna,Si,5,3,Si,Prestigio,No,Si,3,Tecnología,3,Cercanía,Si,No
Masculino,19,Rural,Privada,29,Arte,73,76,84,13,Si,5k-10k,Si,Trabajo Propio,Local,Otros,Soltero,Ninguna,Si,6,2,Si,Prestigio,No,Si,3,Lectura,4,Cercanía,Si,Si
Femenino,20,Rural,Publica,34,Ciencias Sociales,79,78,44,16,No,5k-10k,Si,Trabajo Propio,Foraneo,Solo,Soltero,Ninguna,No,6,3,No,Demanda Laboral,No,Si,3,Tecnología,5,Renta Económica,Si,No
Masculino,21,Urbana,Privada,30,Humanidades,61,84,50,21,Si,<5k,No,Beca,Local,Otros,Soltero,Ninguna,No,6,3,No,Amigos/Familia,No,Si,3,Viajar,5,Cercanía,Si,No
Femenino,21,Urbana,Publica,17,Ciencias Naturales,77,74,46,14,No,5k-10k,Si,Padres,Foraneo,Solo,Soltero,Ninguna,Si,6,2,Si,Sueldo,Si,Si,3,Tecnología,4,Cercanía,Si,No
Masculino,21,Urbana,Publica,25,Ingenieria,69,61,78,17,Si,<5k,No,Trabajo Propio,Local,Familia,Soltero,Ninguna,No,6,1,Si,Gusto Personal,No,Si,4,Deportes,6,Renta Económica,Si,Si
Femenino,18,Urbana,Publica,42,Ciencias Sociales,80,72,72,16,Si,<5k,Si,Trabajo Propio,Foraneo,Otros,Casado,Ninguna,No,4,3,Si,Gusto Personal,No,Si,2,Deportes,4,Influencia Familiar,No,No
Masculino,20,Urbana,Privada,16,Ingenieria,100,83,67,24,No,<5k,No,Beca,Local,Familia,Soltero,Ninguna,No,6,3,No,Prestigio,No,Si,4,Arte,2,Vocación,Si,No
Femenino,19,Rural,Privada,40,Humanidades,79,78,93,10,No,5k-10k,Si,Otro,Foraneo,Otros,Soltero,Ninguna,No,7,1,No,Amigos/Familia,Si,Si,4,Tecnología,4,Prestigio,Si,No
Femenino,18,Rural,Publica,36,Humanidades,66,72,67,8,No,<5k,No,Beca,Local,Otros,Soltero,Ninguna,Si,3,2,Si,Gusto Personal,No,Si,3,Deportes,3,Prestigio,Si,No
Femenino,21,Rural,Publica,22,Ingenieria,77,66,45,26,No,5k-10k,No,Trabajo Propio,Foraneo,Amigos,Soltero,Ninguna,Si,4,2,Si,Sueldo,No,No,2,Deportes,3,Prestigio,No,Si
Masculino,21,Urbana,Privada,20,Ingenieria,98,79,60,17,No,<5k,Si,Otro,Foraneo,Otros,Soltero,Ninguna,Si,5,2,No,Sueldo,Si,Si,3,Lectura,7,Cercanía,No,No
Femenino,20,Rural,Publica,33,Arte,84,86,60,16,No,10k-20k,No,Trabajo Propio,Foraneo,Otros,Divorciado,Ninguna,No,5,3,No,Prestigio,No,No,2,Deportes,5,Cercanía,No,Si
Femenino,19,Urbana,Publica,29,Ciencias Sociales,67,72,95,16,No,<5k,No,Beca,Foraneo,Solo,Soltero,Ninguna,Si,6,1,Si,Prestigio,No,No,2,Viajar,4,Vocación,Si,No
Femenino,18,Urbana,Privada,36,Humanidades,72,67,86,18,Si,10k-20k,Si,Otro,Local,Amigos,Soltero,Ninguna,Si,4,4,Si,Gusto Personal,No,No,2,Arte,3,Cercanía,No,Si
Femenino,22,Rural,Privada,44,Ciencias Naturales,71,80,66,18,Si,5k-10k,Si,Trabajo Propio,Local,Familia,Soltero,Cognitiva,Si,6,1,Si,Gusto Personal,No,No,3,Deportes,3,Cercanía,Si,Si
Femenino,21,Rural,Publica,11,Arte,74,86,80,14,No,5k-10k,No,Otro,Foraneo,Familia,Casado,Ninguna,No,4,3,Si,Gusto Personal,Si,No,5,Lectura,5,Influencia Familiar,No,No
Masculino,19,Urbana,Publica,41,Humanidades,86,72,99,16,Si,<5k,Si,Beca,Local,Solo,Soltero,Ninguna,Si,5,3,Si,Amigos/Familia,Si,Si,3,Deportes,4,Cercanía,No,No
Femenino,18,Rural,Publica,20,Arte,77,68,77,10,No,5k-10k,No,Padres,Local,Familia,Soltero,Ninguna,No,5,1,No,Amigos/Familia,No,Si,4,Arte,6,Cercanía,Si,Si
Femenino,20,Rural,Privada,38,Arte,77,100,77,13,No,<5k,No,Beca,Local,Solo,Soltero,Ninguna,Si,8,1,Si,Prestigio,Si,No,4,Viajar,10,Prestigio,No,No
Masculino,19,Urbana,Privada,15,Ciencias Sociales,97,64,61,17,No,5k-10k,No,Beca,Foraneo,Amigos,Soltero,Ninguna,Si,6,1,No,Demanda Laboral,No,No,4,Tecnología,10,Renta Económica,No,No
Femenino,18,Urbana,Privada,17,Ciencias Sociales,79,88,77,19,No,5k-10k,No,Otro,Foraneo,Solo,Soltero,Ninguna,No,9,2,No,Gusto Personal,Si,Si,4,Arte,8,Prestigio,Si,No
Femenino,19,Rural,Publica,44,Ciencias Naturales,76,79,73,8,No,<5k,Si,Otro,Local,Solo,Soltero,Ninguna,Si,7,2,No,Amigos/Familia,Si,Si,2,Lectura,5,Renta Económica,No,No
Masculino,19,Rural,Publica,25,Humanidades,94,52,61,12,No,10k-20k,Si,Beca,Local,Familia,Divorciado,Ninguna,Si,6,2,Si,Demanda Laboral,Si,Si,3,Tecnología,6,Vocación,No,No
Femenino,22,Urbana,Publica,40,Arte,82,70,60,15,Si,<5k,No,Beca,Foraneo,Solo,Divorciado,Visual,Si,5,3,No,Gusto Personal,Si,No,3,Tecnología,7,Prestigio,No,No
Femenino,23,Rural,Publica,42,Ciencias Sociales,78,65,72,17,No,5k-10k,No,Beca,Local,Otros,Casado,Ninguna,No,5,1,No,Amigos/Familia,No,No,3,Arte,6,Influencia Familiar,Si,No
Masculino,20,Urbana,Privada,38,Ciencias Naturales,82,82,54,12,No,10k-20k,Si,Padres,Local,Solo,Soltero,Ninguna,No,6,1,No,Sueldo,Si,No,3,Arte,1,Cercanía,No,No
Femenino,18,Urbana,Privada,33,Arte,81,82,83,12,Si,<5k,No,Otro,Local,Solo,Casado,Ninguna,Si,8,3,No,Amigos/Familia,Si,No,3,Arte,2,Prestigio,Si,No
Femenino,22,Urbana,Privada,20,Humanidades,98,68,84,11,Si,>20k,No,Trabajo Propio,Local,Familia,Soltero,Ninguna,No,5,3,Si,Sueldo,No,Si,4,Lectura,7,Vocación,No,Si
Femenino,21,Rural,Publica,17,Ingenieria,58,90,81,16,Si,<5k,Si,Padres,Foraneo,Amigos,Soltero,Visual,Si,8,2,No,Prestigio,Si,No,3,Arte,5,Influencia Familiar,No,Si
Femenino,22,Urbana,Publica,24,Ciencias Naturales,78,72,61,11,No,>20k,Si,Otro,Foraneo,Solo,Soltero,Ninguna,Si,4,2,Si,Sueldo,Si,Si,4,Tecnología,8,Renta Económica,No,No
Masculino,22,Urbana,Privada,51,Ciencias Naturales,78,64,67,8,No,5k-10k,Si,Trabajo Propio,Local,Solo,Soltero,Ninguna,Si,3,1,Si,Amigos/Familia,No,Si,4,Viajar,3,Cercanía,No,No
Femenino,19,Urbana,Privada,17,Ingenieria,72,91,64,13,Si,10k-20k,No,Padres,Foraneo,Amigos,Soltero,Ninguna,No,6,2,Si,Gusto Personal,Si,Si,4,Deportes,4,Prestigio,Si,No
Femenino,22,Rural,Publica,45,Ingenieria,75,77,75,26,Si,<5k,No,Otro,Local,Solo,Casado,Ninguna,Si,5,3,No,Prestigio,No,No,2,Lectura,6,Cercanía,Si,Si
